"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7104","Login User with correct email and password","Chromium","2026-08-17","passed","2026-08-17","User Tests","user_test_suite.spec.ts","",""
"","3075","Login User with incorrect email and password","Webkit","2026-08-17","passed","2026-08-17","User Tests","user_test_suite.spec.ts","",""
"","2092","Verify Subscription in home page","Chromium","2026-08-17","passed","2026-08-17","Email Subscription Tests","email_sub.spec.ts","",""
"","4536","Submit the contact form successfully","Webkit","2026-08-17","passed","2026-08-17","Contact Us","contact_us.spec.ts","",""
"","4816","Remove Products From Cart","Chromium","2026-08-17","passed","2026-08-17","Cart Tests","cart_product.spec.ts","",""
"","11102","Logout User","Webkit","2026-08-17","passed","2026-08-17","User Tests","user_test_suite.spec.ts","",""
"","2444","Verify Subscription in Cart page","Chromium","2026-08-17","passed","2026-08-17","Email Subscription Tests","email_sub.spec.ts","",""
"","7357","Logout User","Firefox","2026-08-17","passed","2026-08-17","User Tests","user_test_suite.spec.ts","",""
"","5387","Add Products in Cart","Chromium","2026-08-17","passed","2026-08-17","Cart Tests","cart_product.spec.ts","",""
"","29270","Place Order: Register before Checkout","Webkit","2026-08-17","passed","2026-08-17","Checkout Order Tests","checkout_order.spec.ts","",""
"","16244","Place Order: Login before Checkout","Chromium","2026-08-17","passed","2026-08-17","Checkout Order Tests","checkout_order.spec.ts","",""
"","4983","View Category Products","Firefox","2026-08-17","passed","2026-08-17","Product Page Test Suite","product_page.spec.ts","",""
"","14359","Register User","Webkit","2026-08-17","passed","2026-08-17","User Tests","user_test_suite.spec.ts","",""
"","3165","Verify Subscription in home page","Firefox","2026-08-17","passed","2026-08-17","Email Subscription Tests","email_sub.spec.ts","",""
"","7978","Verify Product quantity in Cart","Webkit","2026-08-17","passed","2026-08-17","Cart Tests","cart_product.spec.ts","",""
"","3581","Search for a Product","Firefox","2026-08-17","passed","2026-08-17","Product Page Test Suite","product_page.spec.ts","",""
