"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 18:13:11 GMT 2024","Sat Aug 17 18:13:31 GMT 2024","20203","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 18:11:01 GMT 2024","Sat Aug 17 18:11:18 GMT 2024","16582","Webkit","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 18:10:55 GMT 2024","Sat Aug 17 18:11:03 GMT 2024","7941","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 18:13:31 GMT 2024","Sat Aug 17 18:13:37 GMT 2024","6256","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 18:13:37 GMT 2024","Sat Aug 17 18:13:43 GMT 2024","5770","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 18:10:16 GMT 2024","Sat Aug 17 18:10:32 GMT 2024","15622","Firefox","user_test_suite.spec.ts","User Tests","","","Logout User",""
"skipped","Sat Aug 17 18:09:25 GMT 2024","Sat Aug 17 18:09:25 GMT 2024","1","Chromium","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 18:12:06 GMT 2024","Sat Aug 17 18:12:11 GMT 2024","4537","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 18:09:25 GMT 2024","Sat Aug 17 18:09:31 GMT 2024","6312","Chromium","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"failed","Sat Aug 17 18:11:45 GMT 2024","Sat Aug 17 18:12:04 GMT 2024","19262","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sat Aug 17 18:09:25 GMT 2024","Sat Aug 17 18:09:32 GMT 2024","6761","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
