"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 18 14:22:58 GMT 2024","Sun Aug 18 14:23:05 GMT 2024","7550","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sun Aug 18 14:41:29 GMT 2024","Sun Aug 18 14:41:46 GMT 2024","17459","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sun Aug 18 14:20:24 GMT 2024","Sun Aug 18 14:20:32 GMT 2024","8106","Webkit","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Sun Aug 18 14:22:40 GMT 2024","Sun Aug 18 14:22:58 GMT 2024","17994","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sun Aug 18 14:06:43 GMT 2024","Sun Aug 18 14:06:50 GMT 2024","6454","Firefox","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Sun Aug 18 14:10:03 GMT 2024","Sun Aug 18 14:10:20 GMT 2024","17450","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Sun Aug 18 14:42:10 GMT 2024","Sun Aug 18 14:42:16 GMT 2024","6221","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"broken","Sun Aug 18 14:10:09 GMT 2024","Sun Aug 18 14:11:42 GMT 2024","92687","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Sun Aug 18 14:33:39 GMT 2024","Sun Aug 18 14:33:45 GMT 2024","6054","Mobile Chrome","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sun Aug 18 14:33:45 GMT 2024","Sun Aug 18 14:33:52 GMT 2024","7463","Mobile Chrome","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"failed","Sun Aug 18 14:06:03 GMT 2024","Sun Aug 18 14:06:03 GMT 2024","237","Chromium","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Sun Aug 18 14:19:18 GMT 2024","Sun Aug 18 14:19:46 GMT 2024","27974","Webkit","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Sun Aug 18 14:34:46 GMT 2024","Sun Aug 18 14:34:55 GMT 2024","9539","Mobile Safari","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Sun Aug 18 14:41:53 GMT 2024","Sun Aug 18 14:42:10 GMT 2024","16943","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Logout User",""
"broken","Sun Aug 18 14:13:23 GMT 2024","Sun Aug 18 14:14:55 GMT 2024","91834","Firefox","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"broken","Sun Aug 18 14:39:20 GMT 2024","Sun Aug 18 14:40:52 GMT 2024","91099","Mobile Safari","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Sun Aug 18 14:40:54 GMT 2024","Sun Aug 18 14:41:02 GMT 2024","7365","Mobile Safari","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"broken","Sun Aug 18 14:36:14 GMT 2024","Sun Aug 18 14:37:44 GMT 2024","90705","Mobile Safari","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Sun Aug 18 14:20:32 GMT 2024","Sun Aug 18 14:20:37 GMT 2024","5092","Webkit","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Sun Aug 18 14:34:35 GMT 2024","Sun Aug 18 14:34:39 GMT 2024","4293","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sun Aug 18 14:33:28 GMT 2024","Sun Aug 18 14:33:39 GMT 2024","10132","Mobile Chrome","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Sun Aug 18 14:41:15 GMT 2024","Sun Aug 18 14:41:29 GMT 2024","13317","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sun Aug 18 14:06:16 GMT 2024","Sun Aug 18 14:06:31 GMT 2024","15451","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sun Aug 18 14:23:05 GMT 2024","Sun Aug 18 14:23:15 GMT 2024","9322","Webkit","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"skipped","Sun Aug 18 14:11:45 GMT 2024","Sun Aug 18 14:11:45 GMT 2024","0","Firefox","contact_us.spec.ts","","","","Contact Us",""
"broken","Sun Aug 18 14:24:59 GMT 2024","Sun Aug 18 14:26:29 GMT 2024","90591","Mobile Chrome","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Sun Aug 18 14:15:04 GMT 2024","Sun Aug 18 14:15:09 GMT 2024","5279","Firefox","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"broken","Sun Aug 18 14:33:11 GMT 2024","Sun Aug 18 14:34:42 GMT 2024","90785","Mobile Chrome","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"failed","Sun Aug 18 14:05:59 GMT 2024","Sun Aug 18 14:05:59 GMT 2024","126","Chromium","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"broken","Sun Aug 18 14:24:50 GMT 2024","Sun Aug 18 14:26:20 GMT 2024","90652","Mobile Chrome","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"broken","Sun Aug 18 14:28:15 GMT 2024","Sun Aug 18 14:29:55 GMT 2024","99513","Mobile Chrome","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"broken","Sun Aug 18 14:13:41 GMT 2024","Sun Aug 18 14:15:13 GMT 2024","92034","Firefox","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Sun Aug 18 14:34:19 GMT 2024","Sun Aug 18 14:34:35 GMT 2024","15309","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Logout User",""
"skipped","Sun Aug 18 14:20:32 GMT 2024","Sun Aug 18 14:20:32 GMT 2024","1","Webkit","contact_us.spec.ts","","","","Contact Us",""
"passed","Sun Aug 18 14:15:24 GMT 2024","Sun Aug 18 14:15:39 GMT 2024","15765","Firefox","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sun Aug 18 14:22:17 GMT 2024","Sun Aug 18 14:22:23 GMT 2024","6091","Webkit","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sun Aug 18 14:06:08 GMT 2024","Sun Aug 18 14:06:14 GMT 2024","6236","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"broken","Sun Aug 18 14:21:24 GMT 2024","Sun Aug 18 14:23:01 GMT 2024","97091","Webkit","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Sun Aug 18 14:41:09 GMT 2024","Sun Aug 18 14:41:15 GMT 2024","6480","Mobile Safari","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"broken","Sun Aug 18 14:41:32 GMT 2024","Sun Aug 18 14:43:03 GMT 2024","90867","Mobile Safari","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"broken","Sun Aug 18 14:17:17 GMT 2024","Sun Aug 18 14:18:48 GMT 2024","90907","Webkit","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"skipped","Sun Aug 18 14:06:03 GMT 2024","Sun Aug 18 14:06:03 GMT 2024","1","Chromium","contact_us.spec.ts","","","","Contact Us",""
"passed","Sun Aug 18 14:06:31 GMT 2024","Sun Aug 18 14:06:36 GMT 2024","4505","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sun Aug 18 14:33:58 GMT 2024","Sun Aug 18 14:34:15 GMT 2024","16602","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"skipped","Sun Aug 18 14:39:55 GMT 2024","Sun Aug 18 14:39:55 GMT 2024","0","Mobile Safari","contact_us.spec.ts","","","","Contact Us",""
"failed","Sun Aug 18 14:06:03 GMT 2024","Sun Aug 18 14:06:03 GMT 2024","295","Chromium","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"broken","Sun Aug 18 14:38:24 GMT 2024","Sun Aug 18 14:39:54 GMT 2024","90758","Mobile Safari","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"failed","Sun Aug 18 14:06:07 GMT 2024","Sun Aug 18 14:06:07 GMT 2024","123","Chromium","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"broken","Sun Aug 18 14:31:45 GMT 2024","Sun Aug 18 14:33:24 GMT 2024","99409","Mobile Chrome","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Sun Aug 18 14:34:15 GMT 2024","Sun Aug 18 14:34:19 GMT 2024","4472","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sun Aug 18 14:33:52 GMT 2024","Sun Aug 18 14:33:58 GMT 2024","5791","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Register User",""
"broken","Sun Aug 18 14:36:38 GMT 2024","Sun Aug 18 14:38:09 GMT 2024","91089","Mobile Safari","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Sun Aug 18 14:06:22 GMT 2024","Sun Aug 18 14:06:26 GMT 2024","4500","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"skipped","Sun Aug 18 14:31:39 GMT 2024","Sun Aug 18 14:31:39 GMT 2024","0","Mobile Chrome","contact_us.spec.ts","","","","Contact Us",""
"passed","Sun Aug 18 14:15:18 GMT 2024","Sun Aug 18 14:15:24 GMT 2024","5668","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sun Aug 18 14:22:30 GMT 2024","Sun Aug 18 14:22:40 GMT 2024","9951","Webkit","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sun Aug 18 14:14:58 GMT 2024","Sun Aug 18 14:15:04 GMT 2024","5752","Firefox","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"broken","Sun Aug 18 14:10:28 GMT 2024","Sun Aug 18 14:12:00 GMT 2024","92508","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Sun Aug 18 14:15:11 GMT 2024","Sun Aug 18 14:15:18 GMT 2024","7296","Firefox","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sun Aug 18 14:15:35 GMT 2024","Sun Aug 18 14:15:40 GMT 2024","5028","Firefox","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"broken","Sun Aug 18 14:17:17 GMT 2024","Sun Aug 18 14:18:49 GMT 2024","91395","Webkit","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Sun Aug 18 14:18:51 GMT 2024","Sun Aug 18 14:19:17 GMT 2024","26017","Webkit","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Sun Aug 18 14:06:26 GMT 2024","Sun Aug 18 14:06:41 GMT 2024","15319","Chromium","user_test_suite.spec.ts","User Tests","","","Logout User",""
"broken","Sun Aug 18 14:08:26 GMT 2024","Sun Aug 18 14:09:58 GMT 2024","91714","Firefox","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"broken","Sun Aug 18 14:27:56 GMT 2024","Sun Aug 18 14:29:27 GMT 2024","90621","Mobile Chrome","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Sun Aug 18 14:22:10 GMT 2024","Sun Aug 18 14:22:17 GMT 2024","7150","Webkit","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Sun Aug 18 14:41:02 GMT 2024","Sun Aug 18 14:41:09 GMT 2024","6813","Mobile Safari","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sun Aug 18 14:34:56 GMT 2024","Sun Aug 18 14:35:05 GMT 2024","9137","Mobile Safari","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Sun Aug 18 14:06:15 GMT 2024","Sun Aug 18 14:06:22 GMT 2024","6296","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sun Aug 18 14:41:46 GMT 2024","Sun Aug 18 14:41:53 GMT 2024","6491","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sun Aug 18 14:23:06 GMT 2024","Sun Aug 18 14:23:24 GMT 2024","18303","Webkit","user_test_suite.spec.ts","User Tests","","","Logout User",""
"failed","Sun Aug 18 14:06:07 GMT 2024","Sun Aug 18 14:06:07 GMT 2024","126","Chromium","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"failed","Sun Aug 18 14:05:55 GMT 2024","Sun Aug 18 14:05:55 GMT 2024","129","Chromium","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Sun Aug 18 14:22:23 GMT 2024","Sun Aug 18 14:22:30 GMT 2024","6361","Webkit","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sun Aug 18 14:06:08 GMT 2024","Sun Aug 18 14:06:14 GMT 2024","6025","Chromium","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"failed","Sun Aug 18 14:08:13 GMT 2024","Sun Aug 18 14:08:26 GMT 2024","12914","Firefox","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Sun Aug 18 14:15:19 GMT 2024","Sun Aug 18 14:15:34 GMT 2024","15477","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sun Aug 18 14:31:13 GMT 2024","Sun Aug 18 14:31:38 GMT 2024","25576","Mobile Chrome","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"failed","Sun Aug 18 14:05:59 GMT 2024","Sun Aug 18 14:05:59 GMT 2024","256","Chromium","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"failed","Sun Aug 18 14:05:55 GMT 2024","Sun Aug 18 14:05:55 GMT 2024","180","Chromium","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
