"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21680","Place Order: Register while Checkout","Firefox","2026-07-27","passed","2026-07-27","Checkout Order Tests","checkout_order.spec.ts","",""
"","3092","Login User with incorrect email and password","Webkit","2026-07-27","passed","2026-07-27","User Tests","user_test_suite.spec.ts","",""
"","8637","Logout User","Chromium","2026-07-27","passed","2026-07-27","User Tests","user_test_suite.spec.ts","",""
"","24206","Login User with correct email and password","Webkit","2026-07-27","passed","2026-07-27","User Tests","user_test_suite.spec.ts","",""
"","5435","Verify Product quantity in Cart","Chromium","2026-07-27","passed","2026-07-27","Cart Tests","cart_product.spec.ts","",""
"","7232","Remove Products From Cart","Firefox","2026-07-27","passed","2026-07-27","Cart Tests","cart_product.spec.ts","",""
"","7338","Verify Product quantity in Cart","Firefox","2026-07-27","passed","2026-07-27","Cart Tests","cart_product.spec.ts","",""
"","19397","Search Products and Verify Cart After Login","Firefox","2026-07-27","passed","2026-07-27","Product Page Test Suite","product_page.spec.ts","",""
"","33264","Place Order: Register while Checkout","Webkit","2026-07-27","passed","2026-07-27","Checkout Order Tests","checkout_order.spec.ts","",""
"","5089","Verify Subscription in home page","Webkit","2026-07-27","passed","2026-07-27","Email Subscription Tests","email_sub.spec.ts","",""
"","13527","Logout User","Webkit","2026-07-27","passed","2026-07-27","User Tests","user_test_suite.spec.ts","",""
"","2228","Login User with incorrect email and password","Chromium","2026-07-27","passed","2026-07-27","User Tests","user_test_suite.spec.ts","",""
"","2683","Login User with incorrect email and password","Firefox","2026-07-27","passed","2026-07-27","User Tests","user_test_suite.spec.ts","",""
"","14897","Search Products and Verify Cart After Login","Chromium","2026-07-27","passed","2026-07-27","Product Page Test Suite","product_page.spec.ts","",""
"","3229","Verify Subscription in Cart page","Chromium","2026-07-27","passed","2026-07-27","Email Subscription Tests","email_sub.spec.ts","",""
"","7861","Add Products in Cart","Chromium","2026-07-27","passed","2026-07-27","Cart Tests","cart_product.spec.ts","",""
"","4243","Search for a Product","Firefox","2026-07-27","passed","2026-07-27","Product Page Test Suite","product_page.spec.ts","",""
"","9640","Login User with correct email and password","Firefox","2026-07-27","passed","2026-07-27","User Tests","user_test_suite.spec.ts","",""
"","3717","Verify Subscription in home page","Firefox","2026-07-27","passed","2026-07-27","Email Subscription Tests","email_sub.spec.ts","",""
"","35126","Place Order: Login before Checkout","Webkit","2026-07-27","passed","2026-07-27","Checkout Order Tests","checkout_order.spec.ts","",""
"","5909","Register User","Chromium","2026-07-27","passed","2026-07-27","User Tests","user_test_suite.spec.ts","",""
