"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4615","Verify All Products and product detail page","Webkit","2026-08-24","passed","2026-08-24","Product Page Test Suite","product_page.spec.ts","",""
"","4136","Verify Subscription in Cart page","Webkit","2026-08-24","passed","2026-08-24","Email Subscription Tests","email_sub.spec.ts","",""
"","9348","Verify Product quantity in Cart","Webkit","2026-08-24","passed","2026-08-24","Cart Tests","cart_product.spec.ts","",""
"","9631","Logout User","Firefox","2026-08-24","passed","2026-08-24","User Tests","user_test_suite.spec.ts","",""
"","21866","Place Order: Login before Checkout","Firefox","2026-08-24","passed","2026-08-24","Checkout Order Tests","checkout_order.spec.ts","",""
"","8000","View Category Products","Webkit","2026-08-24","passed","2026-08-24","Product Page Test Suite","product_page.spec.ts","",""
"","8807","Login User with correct email and password","Firefox","2026-08-24","passed","2026-08-24","User Tests","user_test_suite.spec.ts","",""
"","2891","Verify Subscription in home page","Firefox","2026-08-24","passed","2026-08-24","Email Subscription Tests","email_sub.spec.ts","",""
"","17654","Register User with existing email","Webkit","2026-08-24","passed","2026-08-24","User Tests","user_test_suite.spec.ts","",""
"","31547","Place Order: Register while Checkout","Webkit","2026-08-24","passed","2026-08-24","Checkout Order Tests","checkout_order.spec.ts","",""
"","4631","Register User with existing email","Chromium","2026-08-24","passed","2026-08-24","User Tests","user_test_suite.spec.ts","",""
"","9628","Remove Products From Cart","Webkit","2026-08-24","passed","2026-08-24","Cart Tests","cart_product.spec.ts","",""
"","8013","Logout User","Chromium","2026-08-24","passed","2026-08-24","User Tests","user_test_suite.spec.ts","",""
"","2459","Submit the contact form successfully","Chromium","2026-08-24","passed","2026-08-24","Contact Us","contact_us.spec.ts","",""
"","5493","Remove Products From Cart","Chromium","2026-08-24","passed","2026-08-24","Cart Tests","cart_product.spec.ts","",""
"","7844","Register User","Firefox","2026-08-24","passed","2026-08-24","User Tests","user_test_suite.spec.ts","",""
"","4084","Submit the contact form successfully","Webkit","2026-08-24","passed","2026-08-24","Contact Us","contact_us.spec.ts","",""
"","18741","Place Order: Login before Checkout","Chromium","2026-08-24","passed","2026-08-24","Checkout Order Tests","checkout_order.spec.ts","",""
"","14962","Register User","Webkit","2026-08-24","passed","2026-08-24","User Tests","user_test_suite.spec.ts","",""
"","3685","Search for a Product","Webkit","2026-08-24","passed","2026-08-24","Product Page Test Suite","product_page.spec.ts","",""
"","20219","Search Products and Verify Cart After Login","Webkit","2026-08-24","passed","2026-08-24","Product Page Test Suite","product_page.spec.ts","",""
"","5714","View Category Products","Firefox","2026-08-24","passed","2026-08-24","Product Page Test Suite","product_page.spec.ts","",""
"","14352","Add Products in Cart","Webkit","2026-08-24","passed","2026-08-24","Cart Tests","cart_product.spec.ts","",""
"","3664","Submit the contact form successfully","Firefox","2026-08-24","passed","2026-08-24","Contact Us","contact_us.spec.ts","",""
