"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5532","Logout User","Chromium","Mon May 04 04:46:11 UTC 2026","passed","Mon May 04 04:46:17 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","13064","Search Products and Verify Cart After Login","Firefox","Mon May 04 04:46:52 UTC 2026","passed","Mon May 04 04:47:05 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","1237","Login User with incorrect email and password","Chromium","Mon May 04 04:46:10 UTC 2026","passed","Mon May 04 04:46:11 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","13171","Register User with existing email","Webkit","Mon May 04 04:48:23 UTC 2026","passed","Mon May 04 04:48:37 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","14755","Place Order: Register before Checkout","Chromium","Mon May 04 04:45:45 UTC 2026","passed","Mon May 04 04:46:00 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","4273","Verify All Products and product detail page","Webkit","Mon May 04 04:47:58 UTC 2026","passed","Mon May 04 04:48:02 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","13347","Login User with correct email and password","Firefox","Mon May 04 04:46:57 UTC 2026","passed","Mon May 04 04:47:10 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","2908","Login User with incorrect email and password","Webkit","Mon May 04 04:48:18 UTC 2026","passed","Mon May 04 04:48:21 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","6782","Logout User","Firefox","Mon May 04 04:47:02 UTC 2026","passed","Mon May 04 04:47:09 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","3613","Search for a Product","Firefox","Mon May 04 04:46:48 UTC 2026","passed","Mon May 04 04:46:52 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","20654","Search Products and Verify Cart After Login","Webkit","Mon May 04 04:48:03 UTC 2026","passed","Mon May 04 04:48:23 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","3099","Verify Subscription in home page","Firefox","Mon May 04 04:46:45 UTC 2026","passed","Mon May 04 04:46:48 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","17739","Login User with correct email and password","Webkit","Mon May 04 04:48:09 UTC 2026","passed","Mon May 04 04:48:27 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","36987","Place Order: Login before Checkout","Webkit","Mon May 04 04:47:26 UTC 2026","passed","Mon May 04 04:48:03 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","4335","Remove Products From Cart","Chromium","Mon May 04 04:45:41 UTC 2026","passed","Mon May 04 04:45:45 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","29361","Place Order: Register before Checkout","Webkit","Mon May 04 04:47:24 UTC 2026","passed","Mon May 04 04:47:53 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","5882","Verify Product quantity in Cart","Firefox","Mon May 04 04:46:18 UTC 2026","passed","Mon May 04 04:46:24 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","4103","Submit the contact form successfully","Webkit","Mon May 04 04:47:51 UTC 2026","passed","Mon May 04 04:47:55 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","4094","View Category Products","Chromium","Mon May 04 04:46:03 UTC 2026","passed","Mon May 04 04:46:07 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","4342","Search for a Product","Webkit","Mon May 04 04:47:59 UTC 2026","passed","Mon May 04 04:48:03 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","3476","Verify Subscription in Cart page","Webkit","Mon May 04 04:47:55 UTC 2026","passed","Mon May 04 04:47:59 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","11326","Remove Products From Cart","Webkit","Mon May 04 04:47:13 UTC 2026","passed","Mon May 04 04:47:24 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","4417","Add Products in Cart","Chromium","Mon May 04 04:45:41 UTC 2026","passed","Mon May 04 04:45:45 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","2491","Verify Subscription in Cart page","Chromium","Mon May 04 04:46:00 UTC 2026","passed","Mon May 04 04:46:03 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","4777","Register User with existing email","Firefox","Mon May 04 04:47:05 UTC 2026","passed","Mon May 04 04:47:10 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","15678","Place Order: Login before Checkout","Chromium","Mon May 04 04:45:46 UTC 2026","passed","Mon May 04 04:46:01 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","7740","Register User","Firefox","Mon May 04 04:46:52 UTC 2026","passed","Mon May 04 04:47:00 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","2420","Submit the contact form successfully","Chromium","Mon May 04 04:45:57 UTC 2026","passed","Mon May 04 04:46:00 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","3924","Verify All Products and product detail page","Firefox","Mon May 04 04:46:48 UTC 2026","passed","Mon May 04 04:46:52 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","7657","Login User with correct email and password","Chromium","Mon May 04 04:46:07 UTC 2026","passed","Mon May 04 04:46:15 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","5681","View Category Products","Firefox","Mon May 04 04:46:51 UTC 2026","passed","Mon May 04 04:46:57 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","14812","Logout User","Webkit","Mon May 04 04:48:21 UTC 2026","passed","Mon May 04 04:48:36 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","5903","Register User","Chromium","Mon May 04 04:46:04 UTC 2026","passed","Mon May 04 04:46:10 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","21898","Place Order: Login before Checkout","Firefox","Mon May 04 04:46:26 UTC 2026","passed","Mon May 04 04:46:48 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","2296","Search for a Product","Chromium","Mon May 04 04:46:02 UTC 2026","passed","Mon May 04 04:46:04 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","2186","Login User with incorrect email and password","Firefox","Mon May 04 04:47:00 UTC 2026","passed","Mon May 04 04:47:02 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","4032","Register User with existing email","Chromium","Mon May 04 04:46:12 UTC 2026","passed","Mon May 04 04:46:16 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","2287","Verify All Products and product detail page","Chromium","Mon May 04 04:46:01 UTC 2026","passed","Mon May 04 04:46:04 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","1994","Verify Subscription in home page","Chromium","Mon May 04 04:46:00 UTC 2026","passed","Mon May 04 04:46:02 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","19445","Place Order: Register before Checkout","Firefox","Mon May 04 04:46:25 UTC 2026","passed","Mon May 04 04:46:45 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","4588","Verify Subscription in home page","Webkit","Mon May 04 04:47:53 UTC 2026","passed","Mon May 04 04:47:58 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","3255","Verify Product quantity in Cart","Chromium","Mon May 04 04:45:41 UTC 2026","passed","Mon May 04 04:45:44 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","18629","Place Order: Register while Checkout","Firefox","Mon May 04 04:46:25 UTC 2026","passed","Mon May 04 04:46:44 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","28444","Place Order: Register while Checkout","Webkit","Mon May 04 04:47:23 UTC 2026","passed","Mon May 04 04:47:51 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","13149","Place Order: Register while Checkout","Chromium","Mon May 04 04:45:44 UTC 2026","passed","Mon May 04 04:45:57 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","6791","View Category Products","Webkit","Mon May 04 04:48:02 UTC 2026","passed","Mon May 04 04:48:09 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","3833","Submit the contact form successfully","Firefox","Mon May 04 04:46:44 UTC 2026","passed","Mon May 04 04:46:48 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","6676","Remove Products From Cart","Firefox","Mon May 04 04:46:19 UTC 2026","passed","Mon May 04 04:46:25 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","8829","Search Products and Verify Cart After Login","Chromium","Mon May 04 04:46:04 UTC 2026","passed","Mon May 04 04:46:12 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","10458","Verify Product quantity in Cart","Webkit","Mon May 04 04:47:12 UTC 2026","passed","Mon May 04 04:47:22 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","7889","Add Products in Cart","Firefox","Mon May 04 04:46:17 UTC 2026","passed","Mon May 04 04:46:25 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","14380","Register User","Webkit","Mon May 04 04:48:03 UTC 2026","passed","Mon May 04 04:48:18 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","13585","Add Products in Cart","Webkit","Mon May 04 04:47:11 UTC 2026","passed","Mon May 04 04:47:25 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","3493","Verify Subscription in Cart page","Firefox","Mon May 04 04:46:48 UTC 2026","passed","Mon May 04 04:46:51 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
