"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 19:39:31 GMT 2024","Sat Aug 17 19:39:46 GMT 2024","15692","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"skipped","Sat Aug 17 19:40:24 GMT 2024","Sat Aug 17 19:40:24 GMT 2024","0","Webkit","contact_us.spec.ts","","","","Contact Us",""
"skipped","Sat Aug 17 19:41:08 GMT 2024","Sat Aug 17 19:41:08 GMT 2024","0","Mobile Chrome","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 19:39:46 GMT 2024","Sat Aug 17 19:39:50 GMT 2024","3564","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 19:42:11 GMT 2024","Sat Aug 17 19:42:20 GMT 2024","8925","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 19:40:55 GMT 2024","Sat Aug 17 19:41:14 GMT 2024","19082","Webkit","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 19:40:10 GMT 2024","Sat Aug 17 19:40:14 GMT 2024","4376","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"skipped","Sat Aug 17 19:39:21 GMT 2024","Sat Aug 17 19:39:21 GMT 2024","1","Chromium","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 19:41:34 GMT 2024","Sat Aug 17 19:41:50 GMT 2024","16602","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 19:42:01 GMT 2024","Sat Aug 17 19:42:21 GMT 2024","20135","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sat Aug 17 19:41:15 GMT 2024","Sat Aug 17 19:41:23 GMT 2024","8214","Mobile Chrome","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"skipped","Sat Aug 17 19:41:44 GMT 2024","Sat Aug 17 19:41:44 GMT 2024","0","Mobile Safari","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 19:41:40 GMT 2024","Sat Aug 17 19:41:44 GMT 2024","4049","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 19:41:55 GMT 2024","Sat Aug 17 19:42:11 GMT 2024","15792","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 19:41:25 GMT 2024","Sat Aug 17 19:41:40 GMT 2024","15419","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sat Aug 17 19:42:20 GMT 2024","Sat Aug 17 19:42:35 GMT 2024","15595","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 19:39:50 GMT 2024","Sat Aug 17 19:39:57 GMT 2024","6356","Firefox","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sat Aug 17 19:39:29 GMT 2024","Sat Aug 17 19:39:38 GMT 2024","9503","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 19:39:38 GMT 2024","Sat Aug 17 19:39:42 GMT 2024","3922","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 19:40:35 GMT 2024","Sat Aug 17 19:40:48 GMT 2024","12971","Webkit","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 19:40:20 GMT 2024","Sat Aug 17 19:40:24 GMT 2024","3930","Firefox","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 19:39:59 GMT 2024","Sat Aug 17 19:40:10 GMT 2024","10360","Firefox","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 19:41:29 GMT 2024","Sat Aug 17 19:41:34 GMT 2024","4330","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 19:42:21 GMT 2024","Sat Aug 17 19:42:28 GMT 2024","6857","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"skipped","Sat Aug 17 19:39:50 GMT 2024","Sat Aug 17 19:39:50 GMT 2024","0","Firefox","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 19:41:45 GMT 2024","Sat Aug 17 19:41:53 GMT 2024","8548","Mobile Safari","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sat Aug 17 19:39:21 GMT 2024","Sat Aug 17 19:39:27 GMT 2024","6102","Chromium","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sat Aug 17 19:41:08 GMT 2024","Sat Aug 17 19:41:18 GMT 2024","9169","Mobile Chrome","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sat Aug 17 19:41:01 GMT 2024","Sat Aug 17 19:41:08 GMT 2024","6814","Webkit","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
