"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 11:41:07 GMT 2024","Sat Aug 17 11:41:14 GMT 2024","6633","Chromium","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"skipped","Sat Aug 17 11:42:53 GMT 2024","Sat Aug 17 11:42:53 GMT 2024","1","Mobile Chrome","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 11:42:28 GMT 2024","Sat Aug 17 11:42:45 GMT 2024","16321","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sat Aug 17 11:41:07 GMT 2024","Sat Aug 17 11:41:14 GMT 2024","6288","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"skipped","Sat Aug 17 11:41:35 GMT 2024","Sat Aug 17 11:41:35 GMT 2024","1","Firefox","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 11:41:16 GMT 2024","Sat Aug 17 11:41:24 GMT 2024","8055","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 11:41:57 GMT 2024","Sat Aug 17 11:42:01 GMT 2024","4642","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 11:44:07 GMT 2024","Sat Aug 17 11:44:13 GMT 2024","6198","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 11:41:45 GMT 2024","Sat Aug 17 11:41:56 GMT 2024","10725","Firefox","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 11:41:24 GMT 2024","Sat Aug 17 11:41:28 GMT 2024","4175","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 11:43:30 GMT 2024","Sat Aug 17 11:43:39 GMT 2024","9007","Mobile Safari","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sat Aug 17 11:42:45 GMT 2024","Sat Aug 17 11:43:01 GMT 2024","16453","Webkit","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 11:43:03 GMT 2024","Sat Aug 17 11:43:13 GMT 2024","10528","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 11:41:51 GMT 2024","Sat Aug 17 11:42:07 GMT 2024","16163","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"skipped","Sat Aug 17 11:43:30 GMT 2024","Sat Aug 17 11:43:30 GMT 2024","0","Mobile Safari","contact_us.spec.ts","","","","Contact Us",""
"skipped","Sat Aug 17 11:41:07 GMT 2024","Sat Aug 17 11:41:07 GMT 2024","1","Chromium","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 11:42:07 GMT 2024","Sat Aug 17 11:42:12 GMT 2024","5057","Firefox","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 11:43:01 GMT 2024","Sat Aug 17 11:43:09 GMT 2024","8025","Mobile Chrome","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sat Aug 17 11:41:16 GMT 2024","Sat Aug 17 11:41:32 GMT 2024","15423","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sat Aug 17 11:41:43 GMT 2024","Sat Aug 17 11:41:49 GMT 2024","6250","Firefox","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sat Aug 17 11:43:36 GMT 2024","Sat Aug 17 11:43:44 GMT 2024","8848","Mobile Safari","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sat Aug 17 11:43:14 GMT 2024","Sat Aug 17 11:43:19 GMT 2024","4747","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 11:44:06 GMT 2024","Sat Aug 17 11:44:23 GMT 2024","16941","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 11:42:53 GMT 2024","Sat Aug 17 11:43:01 GMT 2024","7126","Mobile Chrome","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"skipped","Sat Aug 17 11:42:12 GMT 2024","Sat Aug 17 11:42:12 GMT 2024","0","Webkit","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 11:42:01 GMT 2024","Sat Aug 17 11:42:17 GMT 2024","15681","Firefox","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 11:42:13 GMT 2024","Sat Aug 17 11:42:26 GMT 2024","12506","Webkit","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sat Aug 17 11:43:26 GMT 2024","Sat Aug 17 11:43:30 GMT 2024","4253","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 11:42:18 GMT 2024","Sat Aug 17 11:42:26 GMT 2024","8078","Webkit","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sat Aug 17 11:41:36 GMT 2024","Sat Aug 17 11:41:42 GMT 2024","6490","Firefox","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sat Aug 17 11:43:19 GMT 2024","Sat Aug 17 11:43:35 GMT 2024","16457","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 11:42:28 GMT 2024","Sat Aug 17 11:42:39 GMT 2024","11650","Webkit","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 11:41:28 GMT 2024","Sat Aug 17 11:41:43 GMT 2024","14909","Chromium","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 11:41:32 GMT 2024","Sat Aug 17 11:41:35 GMT 2024","3696","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 11:42:46 GMT 2024","Sat Aug 17 11:42:53 GMT 2024","6670","Webkit","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
