"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3974","Register User with existing email","Chromium","Mon May 25 05:03:11 UTC 2026","passed","Mon May 25 05:03:15 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","14183","Register User","Webkit","Mon May 25 05:05:01 UTC 2026","passed","Mon May 25 05:05:15 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","8168","Logout User","Firefox","Mon May 25 05:04:02 UTC 2026","passed","Mon May 25 05:04:10 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","6655","Register User with existing email","Firefox","Mon May 25 05:04:03 UTC 2026","passed","Mon May 25 05:04:10 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","8883","Login User with correct email and password","Firefox","Mon May 25 05:03:54 UTC 2026","passed","Mon May 25 05:04:03 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","6251","Register User","Chromium","Mon May 25 05:03:01 UTC 2026","passed","Mon May 25 05:03:08 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","16107","Search Products and Verify Cart After Login","Webkit","Mon May 25 05:04:59 UTC 2026","passed","Mon May 25 05:05:16 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","4016","Verify All Products and product detail page","Webkit","Mon May 25 05:04:55 UTC 2026","passed","Mon May 25 05:04:59 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","21063","Login User with correct email and password","Webkit","Mon May 25 05:05:06 UTC 2026","passed","Mon May 25 05:05:27 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","2496","Submit the contact form successfully","Chromium","Mon May 25 05:02:56 UTC 2026","passed","Mon May 25 05:02:58 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","1830","Login User with incorrect email and password","Chromium","Mon May 25 05:03:08 UTC 2026","passed","Mon May 25 05:03:09 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","9848","Search Products and Verify Cart After Login","Chromium","Mon May 25 05:03:01 UTC 2026","passed","Mon May 25 05:03:11 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","5912","Logout User","Chromium","Mon May 25 05:03:10 UTC 2026","passed","Mon May 25 05:03:15 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","2520","Search for a Product","Chromium","Mon May 25 05:02:59 UTC 2026","passed","Mon May 25 05:03:01 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","6042","Verify Product quantity in Cart","Firefox","Mon May 25 05:03:17 UTC 2026","passed","Mon May 25 05:03:23 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","8698","Verify Product quantity in Cart","Webkit","Mon May 25 05:04:12 UTC 2026","passed","Mon May 25 05:04:21 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","34304","Place Order: Login before Checkout","Webkit","Mon May 25 05:04:23 UTC 2026","passed","Mon May 25 05:04:57 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","2167","Verify Subscription in home page","Chromium","Mon May 25 05:02:57 UTC 2026","passed","Mon May 25 05:02:59 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","3651","Verify Product quantity in Cart","Chromium","Mon May 25 05:02:37 UTC 2026","passed","Mon May 25 05:02:41 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","4108","View Category Products","Chromium","Mon May 25 05:03:01 UTC 2026","passed","Mon May 25 05:03:05 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","11193","Logout User","Webkit","Mon May 25 05:05:16 UTC 2026","passed","Mon May 25 05:05:27 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","13469","Search Products and Verify Cart After Login","Firefox","Mon May 25 05:03:52 UTC 2026","passed","Mon May 25 05:04:06 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","14672","Place Order: Register before Checkout","Chromium","Mon May 25 05:02:42 UTC 2026","passed","Mon May 25 05:02:57 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","17724","Place Order: Register before Checkout","Firefox","Mon May 25 05:03:24 UTC 2026","passed","Mon May 25 05:03:42 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","7022","Register User","Firefox","Mon May 25 05:03:53 UTC 2026","passed","Mon May 25 05:04:00 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","3217","Verify Subscription in Cart page","Firefox","Mon May 25 05:03:46 UTC 2026","passed","Mon May 25 05:03:49 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","29100","Place Order: Register before Checkout","Webkit","Mon May 25 05:04:22 UTC 2026","passed","Mon May 25 05:04:51 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","4511","Verify Subscription in home page","Webkit","Mon May 25 05:04:51 UTC 2026","passed","Mon May 25 05:04:55 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","4150","Submit the contact form successfully","Webkit","Mon May 25 05:04:51 UTC 2026","passed","Mon May 25 05:04:55 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","5149","View Category Products","Firefox","Mon May 25 05:03:49 UTC 2026","passed","Mon May 25 05:03:54 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","2552","Verify Subscription in Cart page","Chromium","Mon May 25 05:02:59 UTC 2026","passed","Mon May 25 05:03:01 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","3368","Verify All Products and product detail page","Firefox","Mon May 25 05:03:46 UTC 2026","passed","Mon May 25 05:03:49 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","29600","Place Order: Register while Checkout","Webkit","Mon May 25 05:04:21 UTC 2026","passed","Mon May 25 05:04:51 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","13799","Register User with existing email","Webkit","Mon May 25 05:05:18 UTC 2026","passed","Mon May 25 05:05:32 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","7453","Add Products in Cart","Firefox","Mon May 25 05:03:16 UTC 2026","passed","Mon May 25 05:03:23 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","3835","Search for a Product","Webkit","Mon May 25 05:04:57 UTC 2026","passed","Mon May 25 05:05:01 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","4022","Verify Subscription in Cart page","Webkit","Mon May 25 05:04:55 UTC 2026","passed","Mon May 25 05:04:59 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","4950","Add Products in Cart","Chromium","Mon May 25 05:02:37 UTC 2026","passed","Mon May 25 05:02:42 UTC 2026","Cart Tests","cart_product.spec.ts","",""
