"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12063","Login User with correct email and password","Firefox","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","14930","Register User","Webkit","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","21760","Place Order: Login before Checkout","Chromium","2026-08-03","passed","2026-08-03","Checkout Order Tests","checkout_order.spec.ts","",""
"","8193","Remove Products From Cart","Webkit","2026-08-03","passed","2026-08-03","Cart Tests","cart_product.spec.ts","",""
"","6873","Register User with existing email","Firefox","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","8903","Register User with existing email","Webkit","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","7339","Add Products in Cart","Chromium","2026-08-03","passed","2026-08-03","Cart Tests","cart_product.spec.ts","",""
"","9190","Verify Product quantity in Cart","Firefox","2026-08-03","passed","2026-08-03","Cart Tests","cart_product.spec.ts","",""
"","11242","Logout User","Chromium","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","17717","Place Order: Register while Checkout","Chromium","2026-08-03","passed","2026-08-03","Checkout Order Tests","checkout_order.spec.ts","",""
"","30255","Place Order: Login before Checkout","Firefox","2026-08-03","passed","2026-08-03","Checkout Order Tests","checkout_order.spec.ts","",""
"","9301","Add Products in Cart","Firefox","2026-08-03","passed","2026-08-03","Cart Tests","cart_product.spec.ts","",""
"","6550","View Category Products","Firefox","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","9445","Register User","Firefox","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","6722","Register User with existing email","Chromium","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","3928","Verify Subscription in Cart page","Firefox","2026-08-03","passed","2026-08-03","Email Subscription Tests","email_sub.spec.ts","",""
"","13031","Remove Products From Cart","Firefox","2026-08-03","passed","2026-08-03","Cart Tests","cart_product.spec.ts","",""
"","4656","Search for a Product","Webkit","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","4160","Verify All Products and product detail page","Firefox","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","21894","Search Products and Verify Cart After Login","Webkit","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","2383","Verify All Products and product detail page","Chromium","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","30858","Place Order: Register before Checkout","Webkit","2026-08-03","passed","2026-08-03","Checkout Order Tests","checkout_order.spec.ts","",""
"","4406","Submit the contact form successfully","Webkit","2026-08-03","passed","2026-08-03","Contact Us","contact_us.spec.ts","",""
"","9847","Login User with correct email and password","Chromium","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","2384","Login User with incorrect email and password","Firefox","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","38547","Place Order: Login before Checkout","Webkit","2026-08-03","passed","2026-08-03","Checkout Order Tests","checkout_order.spec.ts","",""
"","31469","Place Order: Register while Checkout","Webkit","2026-08-03","passed","2026-08-03","Checkout Order Tests","checkout_order.spec.ts","",""
"","4723","Verify Product quantity in Cart","Chromium","2026-08-03","passed","2026-08-03","Cart Tests","cart_product.spec.ts","",""
"","2068","Login User with incorrect email and password","Chromium","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","8760","View Category Products","Webkit","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","19201","Login User with correct email and password","Webkit","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","3846","Verify Subscription in home page","Firefox","2026-08-03","passed","2026-08-03","Email Subscription Tests","email_sub.spec.ts","",""
"","28669","Place Order: Register while Checkout","Firefox","2026-08-03","passed","2026-08-03","Checkout Order Tests","checkout_order.spec.ts","",""
"","4665","Verify Subscription in home page","Webkit","2026-08-03","passed","2026-08-03","Email Subscription Tests","email_sub.spec.ts","",""
"","4497","Verify All Products and product detail page","Webkit","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","18032","Search Products and Verify Cart After Login","Firefox","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","13901","Search Products and Verify Cart After Login","Chromium","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","2312","Verify Subscription in home page","Chromium","2026-08-03","passed","2026-08-03","Email Subscription Tests","email_sub.spec.ts","",""
"","5693","Remove Products From Cart","Chromium","2026-08-03","passed","2026-08-03","Cart Tests","cart_product.spec.ts","",""
"","5292","View Category Products","Chromium","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","2362","Search for a Product","Chromium","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","4294","Verify Subscription in Cart page","Webkit","2026-08-03","passed","2026-08-03","Email Subscription Tests","email_sub.spec.ts","",""
"","2481","Submit the contact form successfully","Chromium","2026-08-03","passed","2026-08-03","Contact Us","contact_us.spec.ts","",""
"","6922","Register User","Chromium","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","3370","Submit the contact form successfully","Firefox","2026-08-03","passed","2026-08-03","Contact Us","contact_us.spec.ts","",""
"","6910","Verify Product quantity in Cart","Webkit","2026-08-03","passed","2026-08-03","Cart Tests","cart_product.spec.ts","",""
"","2503","Verify Subscription in Cart page","Chromium","2026-08-03","passed","2026-08-03","Email Subscription Tests","email_sub.spec.ts","",""
"","28286","Place Order: Register before Checkout","Firefox","2026-08-03","passed","2026-08-03","Checkout Order Tests","checkout_order.spec.ts","",""
"","16230","Logout User","Webkit","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","3908","Login User with incorrect email and password","Webkit","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","3604","Search for a Product","Firefox","2026-08-03","passed","2026-08-03","Product Page Test Suite","product_page.spec.ts","",""
"","10507","Logout User","Firefox","2026-08-03","passed","2026-08-03","User Tests","user_test_suite.spec.ts","",""
"","12726","Add Products in Cart","Webkit","2026-08-03","passed","2026-08-03","Cart Tests","cart_product.spec.ts","",""
"","17389","Place Order: Register before Checkout","Chromium","2026-08-03","passed","2026-08-03","Checkout Order Tests","checkout_order.spec.ts","",""
