"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8458","Remove Products From Cart","Firefox","Mon Apr 06 04:30:53 UTC 2026","passed","Mon Apr 06 04:31:02 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","4318","Verify All Products and product detail page","Firefox","Mon Apr 06 04:31:27 UTC 2026","passed","Mon Apr 06 04:31:31 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","8401","Login User with correct email and password","Chromium","Mon Apr 06 04:30:40 UTC 2026","passed","Mon Apr 06 04:30:48 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","3929","Verify All Products and product detail page","Webkit","Mon Apr 06 04:32:38 UTC 2026","passed","Mon Apr 06 04:32:42 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","4091","Submit the contact form successfully","Webkit","Mon Apr 06 04:32:31 UTC 2026","passed","Mon Apr 06 04:32:35 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","5857","Add Products in Cart","Chromium","Mon Apr 06 04:30:09 UTC 2026","passed","Mon Apr 06 04:30:15 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","6631","Verify Product quantity in Cart","Firefox","Mon Apr 06 04:30:53 UTC 2026","passed","Mon Apr 06 04:31:00 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","4308","Submit the contact form successfully","Firefox","Mon Apr 06 04:31:22 UTC 2026","passed","Mon Apr 06 04:31:27 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","16384","Search Products and Verify Cart After Login","Firefox","Mon Apr 06 04:31:31 UTC 2026","passed","Mon Apr 06 04:31:47 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","13657","Register User","Webkit","Mon Apr 06 04:32:43 UTC 2026","passed","Mon Apr 06 04:32:56 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","9996","Login User with correct email and password","Firefox","Mon Apr 06 04:31:37 UTC 2026","passed","Mon Apr 06 04:31:47 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","2123","Verify Subscription in home page","Chromium","Mon Apr 06 04:30:31 UTC 2026","passed","Mon Apr 06 04:30:33 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","24482","Place Order: Login before Checkout","Firefox","Mon Apr 06 04:31:02 UTC 2026","passed","Mon Apr 06 04:31:27 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","21497","Place Order: Register before Checkout","Firefox","Mon Apr 06 04:31:01 UTC 2026","passed","Mon Apr 06 04:31:22 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","15954","Place Order: Register while Checkout","Chromium","Mon Apr 06 04:30:14 UTC 2026","passed","Mon Apr 06 04:30:30 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
