"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2176","Verify All Products and product detail page","Chromium","2026-07-13","passed","2026-07-13","Product Page Test Suite","product_page.spec.ts","",""
"","15191","Place Order: Register before Checkout","Firefox","2026-07-13","passed","2026-07-13","Checkout Order Tests","checkout_order.spec.ts","",""
"","22776","Place Order: Register before Checkout","Webkit","2026-07-13","passed","2026-07-13","Checkout Order Tests","checkout_order.spec.ts","",""
"","1527","Login User with incorrect email and password","Chromium","2026-07-13","passed","2026-07-13","User Tests","user_test_suite.spec.ts","",""
"","5937","Logout User","Chromium","2026-07-13","passed","2026-07-13","User Tests","user_test_suite.spec.ts","",""
"","3541","Submit the contact form successfully","Webkit","2026-07-13","passed","2026-07-13","Contact Us","contact_us.spec.ts","",""
"","5484","Register User","Chromium","2026-07-13","passed","2026-07-13","User Tests","user_test_suite.spec.ts","",""
"","6912","Register User with existing email","Webkit","2026-07-13","passed","2026-07-13","User Tests","user_test_suite.spec.ts","",""
"","1742","Verify Subscription in home page","Chromium","2026-07-13","passed","2026-07-13","Email Subscription Tests","email_sub.spec.ts","",""
"","2474","Verify Subscription in home page","Firefox","2026-07-13","passed","2026-07-13","Email Subscription Tests","email_sub.spec.ts","",""
"","2882","Submit the contact form successfully","Firefox","2026-07-13","passed","2026-07-13","Contact Us","contact_us.spec.ts","",""
"","3756","Verify Subscription in home page","Webkit","2026-07-13","passed","2026-07-13","Email Subscription Tests","email_sub.spec.ts","",""
"","7724","Verify Product quantity in Cart","Webkit","2026-07-13","passed","2026-07-13","Cart Tests","cart_product.spec.ts","",""
"","4403","Add Products in Cart","Webkit","2026-07-13","passed","2026-07-13","Cart Tests","cart_product.spec.ts","",""
"","2399","Verify All Products and product detail page","Firefox","2026-07-13","passed","2026-07-13","Product Page Test Suite","product_page.spec.ts","",""
"","3192","Search for a Product","Webkit","2026-07-13","passed","2026-07-13","Product Page Test Suite","product_page.spec.ts","",""
"","4255","Verify Product quantity in Cart","Firefox","2026-07-13","passed","2026-07-13","Cart Tests","cart_product.spec.ts","",""
"","3285","View Category Products","Chromium","2026-07-13","passed","2026-07-13","Product Page Test Suite","product_page.spec.ts","",""
"","11853","Logout User","Firefox","2026-07-13","passed","2026-07-13","User Tests","user_test_suite.spec.ts","",""
"","17538","Place Order: Login before Checkout","Firefox","2026-07-13","passed","2026-07-13","Checkout Order Tests","checkout_order.spec.ts","",""
"","2790","Verify Subscription in Cart page","Webkit","2026-07-13","passed","2026-07-13","Email Subscription Tests","email_sub.spec.ts","",""
"","3655","Remove Products From Cart","Chromium","2026-07-13","passed","2026-07-13","Cart Tests","cart_product.spec.ts","",""
