"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 00:49:50 GMT 2024","Fri Aug 23 00:49:59 GMT 2024","8936","Chromium","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Fri Aug 23 00:53:56 GMT 2024","Fri Aug 23 00:54:16 GMT 2024","19555","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Fri Aug 23 00:49:32 GMT 2024","Fri Aug 23 00:50:10 GMT 2024","37715","Chromium","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Fri Aug 23 00:50:26 GMT 2024","Fri Aug 23 00:50:32 GMT 2024","5860","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Fri Aug 23 00:51:59 GMT 2024","Fri Aug 23 00:52:19 GMT 2024","19961","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Fri Aug 23 00:50:14 GMT 2024","Fri Aug 23 00:50:21 GMT 2024","6980","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Fri Aug 23 00:50:11 GMT 2024","Fri Aug 23 00:50:26 GMT 2024","14740","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Fri Aug 23 00:53:56 GMT 2024","Fri Aug 23 00:54:22 GMT 2024","26687","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Fri Aug 23 00:50:47 GMT 2024","Fri Aug 23 00:51:34 GMT 2024","47222","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Fri Aug 23 00:55:40 GMT 2024","Fri Aug 23 00:55:44 GMT 2024","4276","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Fri Aug 23 00:55:23 GMT 2024","Fri Aug 23 00:55:41 GMT 2024","17174","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Fri Aug 23 00:52:05 GMT 2024","Fri Aug 23 00:52:25 GMT 2024","20207","Firefox","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Fri Aug 23 00:55:04 GMT 2024","Fri Aug 23 00:55:23 GMT 2024","18789","Microsoft Edge","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Fri Aug 23 00:55:01 GMT 2024","Fri Aug 23 00:55:08 GMT 2024","6784","Microsoft Edge","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Fri Aug 23 00:52:00 GMT 2024","Fri Aug 23 00:52:12 GMT 2024","11285","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Fri Aug 23 00:54:16 GMT 2024","Fri Aug 23 00:54:38 GMT 2024","22036","Webkit","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Fri Aug 23 00:49:59 GMT 2024","Fri Aug 23 00:50:14 GMT 2024","15223","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Fri Aug 23 00:55:15 GMT 2024","Fri Aug 23 00:55:33 GMT 2024","17966","Microsoft Edge","product_page.spec.ts","Product Page Test Suite","","","Search Products and Verify Cart After Login",""
