"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 12:46:32 GMT 2024","Mon Aug 26 12:47:41 GMT 2024","69297","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Mon Aug 26 12:45:12 GMT 2024","Mon Aug 26 12:45:32 GMT 2024","20458","Firefox","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Mon Aug 26 12:46:03 GMT 2024","Mon Aug 26 12:46:26 GMT 2024","22936","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Mon Aug 26 12:50:06 GMT 2024","Mon Aug 26 12:50:17 GMT 2024","11004","Microsoft Edge","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Mon Aug 26 12:46:51 GMT 2024","Mon Aug 26 12:48:12 GMT 2024","80917","Webkit","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Mon Aug 26 12:48:17 GMT 2024","Mon Aug 26 12:48:49 GMT 2024","32277","Webkit","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"passed","Mon Aug 26 12:49:46 GMT 2024","Mon Aug 26 12:50:16 GMT 2024","30030","Microsoft Edge","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Mon Aug 26 12:46:34 GMT 2024","Mon Aug 26 12:46:51 GMT 2024","16333","Webkit","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Mon Aug 26 12:44:53 GMT 2024","Mon Aug 26 12:45:11 GMT 2024","18229","Firefox","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Mon Aug 26 12:43:17 GMT 2024","Mon Aug 26 12:43:36 GMT 2024","19233","Chromium","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Mon Aug 26 12:45:24 GMT 2024","Mon Aug 26 12:46:03 GMT 2024","38847","Firefox","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"passed","Mon Aug 26 12:43:56 GMT 2024","Mon Aug 26 12:44:17 GMT 2024","20180","Chromium","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"passed","Mon Aug 26 12:46:17 GMT 2024","Mon Aug 26 12:46:37 GMT 2024","19740","Firefox","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Mon Aug 26 12:44:01 GMT 2024","Mon Aug 26 12:44:18 GMT 2024","16807","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Mon Aug 26 12:49:05 GMT 2024","Mon Aug 26 12:49:18 GMT 2024","12869","Webkit","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Mon Aug 26 12:44:03 GMT 2024","Mon Aug 26 12:44:11 GMT 2024","7938","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Mon Aug 26 12:47:00 GMT 2024","Mon Aug 26 12:48:17 GMT 2024","77019","Webkit","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Mon Aug 26 12:48:05 GMT 2024","Mon Aug 26 12:48:20 GMT 2024","14511","Webkit","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Mon Aug 26 12:49:21 GMT 2024","Mon Aug 26 12:49:41 GMT 2024","19773","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Mon Aug 26 12:46:44 GMT 2024","Mon Aug 26 12:46:59 GMT 2024","15209","Webkit","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Mon Aug 26 12:49:36 GMT 2024","Mon Aug 26 12:50:10 GMT 2024","33687","Microsoft Edge","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Mon Aug 26 12:50:35 GMT 2024","Mon Aug 26 12:50:42 GMT 2024","7571","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Mon Aug 26 12:50:17 GMT 2024","Mon Aug 26 12:50:35 GMT 2024","17623","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Mon Aug 26 12:43:34 GMT 2024","Mon Aug 26 12:43:43 GMT 2024","9185","Chromium","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Mon Aug 26 12:50:02 GMT 2024","Mon Aug 26 12:50:41 GMT 2024","38733","Webkit","product_page.spec.ts","Product Page Test Suite","","","Search Products and Verify Cart After Login",""
"passed","Mon Aug 26 12:46:24 GMT 2024","Mon Aug 26 12:46:31 GMT 2024","6680","Firefox","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Mon Aug 26 12:44:24 GMT 2024","Mon Aug 26 12:44:46 GMT 2024","22105","Firefox","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Mon Aug 26 12:44:17 GMT 2024","Mon Aug 26 12:44:23 GMT 2024","6301","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Mon Aug 26 12:44:01 GMT 2024","Mon Aug 26 12:44:21 GMT 2024","19870","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Mon Aug 26 12:44:11 GMT 2024","Mon Aug 26 12:44:33 GMT 2024","22647","Chromium","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Mon Aug 26 12:43:17 GMT 2024","Mon Aug 26 12:43:33 GMT 2024","16056","Chromium","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Mon Aug 26 12:48:12 GMT 2024","Mon Aug 26 12:48:27 GMT 2024","14863","Webkit","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Mon Aug 26 12:48:49 GMT 2024","Mon Aug 26 12:49:05 GMT 2024","16035","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"skipped","Mon Aug 26 12:49:50 GMT 2024","Mon Aug 26 12:49:50 GMT 2024","0","Microsoft Edge","contact_us.spec.ts","","","","Contact Us",""
"passed","Mon Aug 26 12:47:01 GMT 2024","Mon Aug 26 12:48:04 GMT 2024","62533","Webkit","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Mon Aug 26 12:49:17 GMT 2024","Mon Aug 26 12:49:42 GMT 2024","24530","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Mon Aug 26 12:45:01 GMT 2024","Mon Aug 26 12:45:24 GMT 2024","22897","Firefox","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Mon Aug 26 12:50:24 GMT 2024","Mon Aug 26 12:50:43 GMT 2024","19639","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
