"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Aug 18 15:22:19 GMT 2024","Sun Aug 18 15:22:19 GMT 2024","0","Mobile Chrome","contact_us.spec.ts","","","","Contact Us",""
"passed","Sun Aug 18 15:19:53 GMT 2024","Sun Aug 18 15:20:01 GMT 2024","7375","Webkit","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Sun Aug 18 15:27:49 GMT 2024","Sun Aug 18 15:27:57 GMT 2024","7671","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sun Aug 18 15:20:57 GMT 2024","Sun Aug 18 15:21:14 GMT 2024","16872","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"skipped","Sun Aug 18 15:27:18 GMT 2024","Sun Aug 18 15:27:18 GMT 2024","0","Mobile Safari","contact_us.spec.ts","","","","Contact Us",""
"passed","Sun Aug 18 15:22:40 GMT 2024","Sun Aug 18 15:22:46 GMT 2024","6090","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sun Aug 18 15:18:24 GMT 2024","Sun Aug 18 15:18:29 GMT 2024","5583","Firefox","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Sun Aug 18 15:21:40 GMT 2024","Sun Aug 18 15:21:45 GMT 2024","5399","Mobile Chrome","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Sun Aug 18 15:17:50 GMT 2024","Sun Aug 18 15:17:55 GMT 2024","5778","Chromium","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sun Aug 18 15:19:17 GMT 2024","Sun Aug 18 15:19:23 GMT 2024","6638","Firefox","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sun Aug 18 15:27:22 GMT 2024","Sun Aug 18 15:27:28 GMT 2024","5350","Mobile Safari","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Sun Aug 18 15:19:07 GMT 2024","Sun Aug 18 15:19:15 GMT 2024","7985","Firefox","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sun Aug 18 15:19:01 GMT 2024","Sun Aug 18 15:19:05 GMT 2024","4121","Firefox","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Sun Aug 18 15:20:46 GMT 2024","Sun Aug 18 15:20:54 GMT 2024","7463","Webkit","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sun Aug 18 15:18:12 GMT 2024","Sun Aug 18 15:18:16 GMT 2024","3817","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
