"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6943","Add Products in Cart","Firefox","Mon May 18 04:56:46 UTC 2026","passed","Mon May 18 04:56:53 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","14143","Place Order: Register before Checkout","Chromium","Mon May 18 04:56:14 UTC 2026","passed","Mon May 18 04:56:28 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","6550","Remove Products From Cart","Firefox","Mon May 18 04:56:48 UTC 2026","passed","Mon May 18 04:56:55 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","2226","Login User with incorrect email and password","Firefox","Mon May 18 04:57:26 UTC 2026","passed","Mon May 18 04:57:28 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","7469","Login User with correct email and password","Chromium","Mon May 18 04:56:36 UTC 2026","passed","Mon May 18 04:56:43 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","2132","Verify Subscription in home page","Chromium","Mon May 18 04:56:28 UTC 2026","passed","Mon May 18 04:56:30 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","4046","Register User with existing email","Chromium","Mon May 18 04:56:41 UTC 2026","passed","Mon May 18 04:56:45 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","8985","Remove Products From Cart","Webkit","Mon May 18 04:57:39 UTC 2026","passed","Mon May 18 04:57:48 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","10737","Logout User","Webkit","Mon May 18 04:58:41 UTC 2026","passed","Mon May 18 04:58:52 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","3328","Search for a Product","Firefox","Mon May 18 04:57:15 UTC 2026","passed","Mon May 18 04:57:19 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","2760","Login User with incorrect email and password","Webkit","Mon May 18 04:58:38 UTC 2026","passed","Mon May 18 04:58:41 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","5603","Register User with existing email","Firefox","Mon May 18 04:57:31 UTC 2026","passed","Mon May 18 04:57:37 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","5949","View Category Products","Webkit","Mon May 18 04:58:21 UTC 2026","passed","Mon May 18 04:58:27 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","2491","Submit the contact form successfully","Chromium","Mon May 18 04:56:27 UTC 2026","passed","Mon May 18 04:56:30 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","5316","Logout User","Chromium","Mon May 18 04:56:41 UTC 2026","passed","Mon May 18 04:56:46 UTC 2026","User Tests","user_test_suite.spec.ts","",""
