"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 20 21:18:26 GMT 2024","Tue Aug 20 21:18:26 GMT 2024","0","Chromium","contact_us.spec.ts","","","","Contact Us",""
"passed","Tue Aug 20 21:19:47 GMT 2024","Tue Aug 20 21:20:05 GMT 2024","17044","Firefox","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Tue Aug 20 21:20:05 GMT 2024","Tue Aug 20 21:20:27 GMT 2024","21857","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Tue Aug 20 21:19:12 GMT 2024","Tue Aug 20 21:19:32 GMT 2024","20259","Firefox","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Tue Aug 20 21:19:34 GMT 2024","Tue Aug 20 21:19:47 GMT 2024","13218","Firefox","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Tue Aug 20 21:22:49 GMT 2024","Tue Aug 20 21:22:58 GMT 2024","9350","Microsoft Edge","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Tue Aug 20 21:21:11 GMT 2024","Tue Aug 20 21:21:29 GMT 2024","18161","Webkit","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Tue Aug 20 21:18:35 GMT 2024","Tue Aug 20 21:18:50 GMT 2024","15463","Chromium","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Tue Aug 20 21:22:25 GMT 2024","Tue Aug 20 21:23:08 GMT 2024","42904","Microsoft Edge","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Tue Aug 20 21:20:37 GMT 2024","Tue Aug 20 21:20:59 GMT 2024","22054","Webkit","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Tue Aug 20 21:20:39 GMT 2024","Tue Aug 20 21:20:56 GMT 2024","16825","Webkit","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Tue Aug 20 21:19:47 GMT 2024","Tue Aug 20 21:20:05 GMT 2024","17790","Firefox","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Tue Aug 20 21:21:55 GMT 2024","Tue Aug 20 21:22:17 GMT 2024","22451","Webkit","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Tue Aug 20 21:20:20 GMT 2024","Tue Aug 20 21:20:34 GMT 2024","13886","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Tue Aug 20 21:18:29 GMT 2024","Tue Aug 20 21:18:36 GMT 2024","6911","Chromium","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"skipped","Tue Aug 20 21:22:49 GMT 2024","Tue Aug 20 21:22:49 GMT 2024","0","Microsoft Edge","contact_us.spec.ts","","","","Contact Us",""
"passed","Tue Aug 20 21:18:11 GMT 2024","Tue Aug 20 21:18:29 GMT 2024","17325","Chromium","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Tue Aug 20 21:23:09 GMT 2024","Tue Aug 20 21:23:27 GMT 2024","17928","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Tue Aug 20 21:20:01 GMT 2024","Tue Aug 20 21:20:48 GMT 2024","46578","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Tue Aug 20 21:22:20 GMT 2024","Tue Aug 20 21:22:46 GMT 2024","26122","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Tue Aug 20 21:21:01 GMT 2024","Tue Aug 20 21:21:13 GMT 2024","12274","Webkit","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Tue Aug 20 21:18:45 GMT 2024","Tue Aug 20 21:19:09 GMT 2024","24360","Chromium","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Tue Aug 20 21:22:54 GMT 2024","Tue Aug 20 21:23:01 GMT 2024","6493","Microsoft Edge","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Tue Aug 20 21:18:26 GMT 2024","Tue Aug 20 21:18:35 GMT 2024","8710","Chromium","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Tue Aug 20 21:18:36 GMT 2024","Tue Aug 20 21:18:49 GMT 2024","12376","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Tue Aug 20 21:20:57 GMT 2024","Tue Aug 20 21:21:11 GMT 2024","13810","Webkit","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Tue Aug 20 21:18:12 GMT 2024","Tue Aug 20 21:18:25 GMT 2024","13899","Chromium","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Tue Aug 20 21:20:27 GMT 2024","Tue Aug 20 21:20:55 GMT 2024","27745","Firefox","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Tue Aug 20 21:19:07 GMT 2024","Tue Aug 20 21:19:33 GMT 2024","25628","Firefox","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Tue Aug 20 21:20:05 GMT 2024","Tue Aug 20 21:20:29 GMT 2024","24240","Firefox","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Tue Aug 20 21:20:41 GMT 2024","Tue Aug 20 21:20:57 GMT 2024","15259","Webkit","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Tue Aug 20 21:20:59 GMT 2024","Tue Aug 20 21:22:14 GMT 2024","75834","Webkit","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Tue Aug 20 21:18:50 GMT 2024","Tue Aug 20 21:19:12 GMT 2024","21535","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Tue Aug 20 21:18:12 GMT 2024","Tue Aug 20 21:18:22 GMT 2024","10072","Chromium","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Tue Aug 20 21:23:07 GMT 2024","Tue Aug 20 21:23:20 GMT 2024","12922","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Tue Aug 20 21:18:11 GMT 2024","Tue Aug 20 21:18:51 GMT 2024","39818","Chromium","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Tue Aug 20 21:19:00 GMT 2024","Tue Aug 20 21:19:07 GMT 2024","6906","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Tue Aug 20 21:22:22 GMT 2024","Tue Aug 20 21:22:42 GMT 2024","20480","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Tue Aug 20 21:19:35 GMT 2024","Tue Aug 20 21:19:47 GMT 2024","12196","Firefox","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Tue Aug 20 21:22:24 GMT 2024","Tue Aug 20 21:23:04 GMT 2024","40365","Microsoft Edge","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Tue Aug 20 21:19:17 GMT 2024","Tue Aug 20 21:20:27 GMT 2024","69889","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Tue Aug 20 21:18:49 GMT 2024","Tue Aug 20 21:19:04 GMT 2024","15132","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Tue Aug 20 21:22:58 GMT 2024","Tue Aug 20 21:23:07 GMT 2024","9087","Microsoft Edge","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Tue Aug 20 21:23:10 GMT 2024","Tue Aug 20 21:23:26 GMT 2024","16534","Microsoft Edge","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Tue Aug 20 21:21:21 GMT 2024","Tue Aug 20 21:22:17 GMT 2024","56317","Webkit","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Tue Aug 20 21:20:29 GMT 2024","Tue Aug 20 21:20:38 GMT 2024","9441","Firefox","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Tue Aug 20 21:21:13 GMT 2024","Tue Aug 20 21:21:32 GMT 2024","18645","Webkit","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Tue Aug 20 21:21:29 GMT 2024","Tue Aug 20 21:21:54 GMT 2024","25342","Webkit","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Tue Aug 20 21:22:22 GMT 2024","Tue Aug 20 21:22:40 GMT 2024","18656","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Tue Aug 20 21:18:12 GMT 2024","Tue Aug 20 21:18:50 GMT 2024","38086","Chromium","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Tue Aug 20 21:19:16 GMT 2024","Tue Aug 20 21:20:18 GMT 2024","62062","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Tue Aug 20 21:19:14 GMT 2024","Tue Aug 20 21:19:31 GMT 2024","16898","Firefox","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"skipped","Tue Aug 20 21:19:34 GMT 2024","Tue Aug 20 21:19:34 GMT 2024","0","Firefox","contact_us.spec.ts","","","","Contact Us",""
"passed","Tue Aug 20 21:18:52 GMT 2024","Tue Aug 20 21:19:12 GMT 2024","20293","Chromium","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Tue Aug 20 21:18:50 GMT 2024","Tue Aug 20 21:19:00 GMT 2024","9446","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
