"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Aug 17 17:51:56 GMT 2024","Sat Aug 17 17:51:56 GMT 2024","0","Webkit","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 17:51:02 GMT 2024","Sat Aug 17 17:51:16 GMT 2024","14320","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sat Aug 17 17:51:21 GMT 2024","Sat Aug 17 17:51:27 GMT 2024","6351","Firefox","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sat Aug 17 17:52:02 GMT 2024","Sat Aug 17 17:52:11 GMT 2024","9309","Webkit","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sat Aug 17 17:51:52 GMT 2024","Sat Aug 17 17:51:56 GMT 2024","4261","Firefox","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 17:51:58 GMT 2024","Sat Aug 17 17:52:06 GMT 2024","8092","Webkit","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"skipped","Sat Aug 17 17:52:38 GMT 2024","Sat Aug 17 17:52:38 GMT 2024","0","Mobile Chrome","contact_us.spec.ts","","","","Contact Us",""
"skipped","Sat Aug 17 17:50:54 GMT 2024","Sat Aug 17 17:50:54 GMT 2024","2","Chromium","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 17:53:10 GMT 2024","Sat Aug 17 17:53:14 GMT 2024","4229","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 17:52:38 GMT 2024","Sat Aug 17 17:52:47 GMT 2024","8723","Mobile Chrome","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"skipped","Sat Aug 17 17:53:14 GMT 2024","Sat Aug 17 17:53:14 GMT 2024","0","Mobile Safari","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 17:52:47 GMT 2024","Sat Aug 17 17:52:53 GMT 2024","6879","Mobile Chrome","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sat Aug 17 17:51:16 GMT 2024","Sat Aug 17 17:51:20 GMT 2024","3952","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 17:52:08 GMT 2024","Sat Aug 17 17:52:21 GMT 2024","12912","Webkit","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 17:52:28 GMT 2024","Sat Aug 17 17:52:46 GMT 2024","17916","Webkit","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 17:50:54 GMT 2024","Sat Aug 17 17:51:01 GMT 2024","6517","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"skipped","Sat Aug 17 17:51:20 GMT 2024","Sat Aug 17 17:51:20 GMT 2024","1","Firefox","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 17:51:41 GMT 2024","Sat Aug 17 17:51:45 GMT 2024","4729","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 17:53:15 GMT 2024","Sat Aug 17 17:53:24 GMT 2024","9236","Mobile Safari","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sat Aug 17 17:51:02 GMT 2024","Sat Aug 17 17:51:09 GMT 2024","7395","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 17:51:37 GMT 2024","Sat Aug 17 17:51:52 GMT 2024","14828","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sat Aug 17 17:52:56 GMT 2024","Sat Aug 17 17:53:00 GMT 2024","3973","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 17:52:55 GMT 2024","Sat Aug 17 17:53:10 GMT 2024","14501","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sat Aug 17 17:53:24 GMT 2024","Sat Aug 17 17:53:39 GMT 2024","14964","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 17:51:28 GMT 2024","Sat Aug 17 17:51:35 GMT 2024","7379","Firefox","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sat Aug 17 17:53:45 GMT 2024","Sat Aug 17 17:54:01 GMT 2024","15908","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 17:53:25 GMT 2024","Sat Aug 17 17:53:45 GMT 2024","20050","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
