"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4810","Submit the contact form successfully","Webkit","Mon Apr 13 04:36:45 UTC 2026","passed","Mon Apr 13 04:36:49 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","6331","Verify Product quantity in Cart","Firefox","Mon Apr 13 04:35:05 UTC 2026","passed","Mon Apr 13 04:35:11 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","1648","Login User with incorrect email and password","Firefox","Mon Apr 13 04:35:47 UTC 2026","passed","Mon Apr 13 04:35:48 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","9275","View Category Products","Webkit","Mon Apr 13 04:36:58 UTC 2026","passed","Mon Apr 13 04:37:07 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","2766","Submit the contact form successfully","Chromium","Mon Apr 13 04:34:42 UTC 2026","passed","Mon Apr 13 04:34:44 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","6583","View Category Products","Firefox","Mon Apr 13 04:35:40 UTC 2026","passed","Mon Apr 13 04:35:46 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","4748","Verify Product quantity in Cart","Webkit","Mon Apr 13 04:36:11 UTC 2026","passed","Mon Apr 13 04:36:16 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","4377","Verify All Products and product detail page","Webkit","Mon Apr 13 04:36:54 UTC 2026","passed","Mon Apr 13 04:36:58 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","2706","Verify All Products and product detail page","Chromium","Mon Apr 13 04:34:44 UTC 2026","passed","Mon Apr 13 04:34:47 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","16048","Search Products and Verify Cart After Login","Chromium","Mon Apr 13 04:34:47 UTC 2026","passed","Mon Apr 13 04:35:03 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","36997","Place Order: Login before Checkout","Webkit","Mon Apr 13 04:36:26 UTC 2026","passed","Mon Apr 13 04:37:03 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","6867","Logout User","Firefox","Mon Apr 13 04:35:48 UTC 2026","passed","Mon Apr 13 04:35:55 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","5857","Logout User","Chromium","Mon Apr 13 04:34:54 UTC 2026","passed","Mon Apr 13 04:35:00 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","20353","Place Order: Register while Checkout","Firefox","Mon Apr 13 04:35:11 UTC 2026","passed","Mon Apr 13 04:35:32 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","14566","Logout User","Webkit","Mon Apr 13 04:37:17 UTC 2026","passed","Mon Apr 13 04:37:32 UTC 2026","User Tests","user_test_suite.spec.ts","",""
