"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 00:48:30 GMT 2024","Mon Aug 26 00:48:49 GMT 2024","18911","Firefox","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Mon Aug 26 00:49:34 GMT 2024","Mon Aug 26 00:49:53 GMT 2024","19695","Firefox","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Mon Aug 26 00:53:13 GMT 2024","Mon Aug 26 00:53:32 GMT 2024","19030","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Mon Aug 26 00:47:49 GMT 2024","Mon Aug 26 00:47:57 GMT 2024","7885","Chromium","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"passed","Mon Aug 26 00:49:29 GMT 2024","Mon Aug 26 00:49:50 GMT 2024","21512","Firefox","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"skipped","Mon Aug 26 00:48:50 GMT 2024","Mon Aug 26 00:48:50 GMT 2024","0","Firefox","contact_us.spec.ts","","","","Contact Us",""
"passed","Mon Aug 26 00:54:06 GMT 2024","Mon Aug 26 00:54:26 GMT 2024","20661","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Mon Aug 26 00:53:52 GMT 2024","Mon Aug 26 00:54:01 GMT 2024","9175","Microsoft Edge","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Mon Aug 26 00:47:30 GMT 2024","Mon Aug 26 00:47:44 GMT 2024","13989","Chromium","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Mon Aug 26 00:54:18 GMT 2024","Mon Aug 26 00:54:24 GMT 2024","6599","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Mon Aug 26 00:47:54 GMT 2024","Mon Aug 26 00:48:10 GMT 2024","15713","Chromium","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Mon Aug 26 00:47:57 GMT 2024","Mon Aug 26 00:48:11 GMT 2024","13402","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Mon Aug 26 00:54:05 GMT 2024","Mon Aug 26 00:54:20 GMT 2024","14392","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Mon Aug 26 00:48:19 GMT 2024","Mon Aug 26 00:48:37 GMT 2024","17985","Chromium","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Mon Aug 26 00:52:13 GMT 2024","Mon Aug 26 00:52:56 GMT 2024","42604","Webkit","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"passed","Mon Aug 26 00:53:43 GMT 2024","Mon Aug 26 00:53:52 GMT 2024","8580","Microsoft Edge","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Mon Aug 26 00:47:45 GMT 2024","Mon Aug 26 00:47:54 GMT 2024","9164","Chromium","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Mon Aug 26 00:53:13 GMT 2024","Mon Aug 26 00:53:39 GMT 2024","26021","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Mon Aug 26 00:50:16 GMT 2024","Mon Aug 26 00:50:33 GMT 2024","17061","Webkit","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Mon Aug 26 00:47:38 GMT 2024","Mon Aug 26 00:48:11 GMT 2024","33208","Chromium","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
"passed","Mon Aug 26 00:53:17 GMT 2024","Mon Aug 26 00:53:58 GMT 2024","40071","Microsoft Edge","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Mon Aug 26 00:51:19 GMT 2024","Mon Aug 26 00:52:04 GMT 2024","44940","Firefox","product_page.spec.ts","Product Page Test Suite","","","Search Products and Verify Cart After Login",""
"passed","Mon Aug 26 00:52:56 GMT 2024","Mon Aug 26 00:53:16 GMT 2024","19753","Webkit","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Mon Aug 26 00:53:18 GMT 2024","Mon Aug 26 00:53:59 GMT 2024","41180","Microsoft Edge","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
"passed","Mon Aug 26 00:53:05 GMT 2024","Mon Aug 26 00:53:15 GMT 2024","10977","Webkit","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Mon Aug 26 00:49:53 GMT 2024","Mon Aug 26 00:50:02 GMT 2024","8710","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Mon Aug 26 00:52:22 GMT 2024","Mon Aug 26 00:52:55 GMT 2024","32569","Webkit","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Mon Aug 26 00:53:56 GMT 2024","Mon Aug 26 00:54:06 GMT 2024","9581","Microsoft Edge","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Mon Aug 26 00:53:13 GMT 2024","Mon Aug 26 00:53:32 GMT 2024","18425","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Mon Aug 26 00:54:20 GMT 2024","Mon Aug 26 00:54:36 GMT 2024","16231","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Mon Aug 26 00:52:18 GMT 2024","Mon Aug 26 00:53:09 GMT 2024","50406","Webkit","product_page.spec.ts","Product Page Test Suite","","","Search Products and Verify Cart After Login",""
"passed","Mon Aug 26 00:50:41 GMT 2024","Mon Aug 26 00:50:50 GMT 2024","8558","Webkit","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Mon Aug 26 00:49:09 GMT 2024","Mon Aug 26 00:49:23 GMT 2024","14617","Firefox","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
