"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 24 12:43:09 GMT 2024","Sat Aug 24 12:43:27 GMT 2024","17940","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Sat Aug 24 12:45:18 GMT 2024","Sat Aug 24 12:45:35 GMT 2024","17144","Webkit","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Sat Aug 24 12:43:29 GMT 2024","Sat Aug 24 12:43:57 GMT 2024","28345","Firefox","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Sat Aug 24 12:44:49 GMT 2024","Sat Aug 24 12:45:13 GMT 2024","24684","Firefox","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 24 12:46:23 GMT 2024","Sat Aug 24 12:47:13 GMT 2024","49650","Firefox","product_page.spec.ts","Product Page Test Suite","","","Search Products and Verify Cart After Login",""
"passed","Sat Aug 24 12:44:59 GMT 2024","Sat Aug 24 12:45:10 GMT 2024","10863","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 24 12:43:07 GMT 2024","Sat Aug 24 12:43:25 GMT 2024","18458","Chromium","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"passed","Sat Aug 24 12:42:28 GMT 2024","Sat Aug 24 12:43:09 GMT 2024","40790","Chromium","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"skipped","Sat Aug 24 12:48:30 GMT 2024","Sat Aug 24 12:48:30 GMT 2024","1","Microsoft Edge","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 24 12:49:12 GMT 2024","Sat Aug 24 12:49:27 GMT 2024","15103","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Logout User",""
