"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Aug 25 00:47:39 GMT 2024","Sun Aug 25 00:47:39 GMT 2024","0","Chromium","contact_us.spec.ts","","","","Contact Us",""
"passed","Sun Aug 25 00:48:21 GMT 2024","Sun Aug 25 00:48:27 GMT 2024","5519","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sun Aug 25 00:48:10 GMT 2024","Sun Aug 25 00:48:17 GMT 2024","7387","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sun Aug 25 00:53:13 GMT 2024","Sun Aug 25 00:53:42 GMT 2024","29364","Firefox","product_page.spec.ts","Product Page Test Suite","","","Search Products and Verify Cart After Login",""
"passed","Sun Aug 25 00:53:58 GMT 2024","Sun Aug 25 00:54:14 GMT 2024","15309","Microsoft Edge","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"passed","Sun Aug 25 00:47:58 GMT 2024","Sun Aug 25 00:48:10 GMT 2024","12088","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sun Aug 25 00:50:07 GMT 2024","Sun Aug 25 00:50:21 GMT 2024","13388","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sun Aug 25 00:50:32 GMT 2024","Sun Aug 25 00:51:31 GMT 2024","58541","Webkit","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Sun Aug 25 00:53:50 GMT 2024","Sun Aug 25 00:53:55 GMT 2024","5373","Microsoft Edge","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Sun Aug 25 00:49:22 GMT 2024","Sun Aug 25 00:49:38 GMT 2024","16023","Firefox","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sun Aug 25 00:50:29 GMT 2024","Sun Aug 25 00:50:48 GMT 2024","18465","Webkit","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Sun Aug 25 00:53:01 GMT 2024","Sun Aug 25 00:53:11 GMT 2024","10584","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Sun Aug 25 00:51:31 GMT 2024","Sun Aug 25 00:52:02 GMT 2024","30830","Webkit","product_page.spec.ts","Product Page Test Suite","","","View Category Products",""
"passed","Sun Aug 25 00:48:08 GMT 2024","Sun Aug 25 00:48:22 GMT 2024","14323","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sun Aug 25 00:52:40 GMT 2024","Sun Aug 25 00:52:53 GMT 2024","12370","Webkit","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sun Aug 25 00:49:55 GMT 2024","Sun Aug 25 00:50:21 GMT 2024","26481","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search Products and Verify Cart After Login",""
"passed","Sun Aug 25 00:53:49 GMT 2024","Sun Aug 25 00:54:11 GMT 2024","22398","Microsoft Edge","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Login before Checkout",""
