"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 21 04:04:37 GMT 2024","Wed Aug 21 04:04:52 GMT 2024","15051","Firefox","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"skipped","Wed Aug 21 04:03:33 GMT 2024","Wed Aug 21 04:03:33 GMT 2024","0","Chromium","contact_us.spec.ts","","","","Contact Us",""
"passed","Wed Aug 21 04:07:02 GMT 2024","Wed Aug 21 04:07:16 GMT 2024","13388","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Wed Aug 21 04:04:10 GMT 2024","Wed Aug 21 04:04:25 GMT 2024","15302","Firefox","cart_product.spec.ts","Cart Tests","","","Add Products in Cart",""
"passed","Wed Aug 21 04:03:47 GMT 2024","Wed Aug 21 04:03:55 GMT 2024","8525","Chromium","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Wed Aug 21 04:05:12 GMT 2024","Wed Aug 21 04:05:34 GMT 2024","21346","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Wed Aug 21 04:06:20 GMT 2024","Wed Aug 21 04:06:44 GMT 2024","24071","Webkit","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Wed Aug 21 04:05:57 GMT 2024","Wed Aug 21 04:06:07 GMT 2024","10108","Webkit","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in home page",""
"passed","Wed Aug 21 04:07:42 GMT 2024","Wed Aug 21 04:07:57 GMT 2024","14863","Microsoft Edge","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Wed Aug 21 04:07:23 GMT 2024","Wed Aug 21 04:07:33 GMT 2024","10320","Microsoft Edge","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Wed Aug 21 04:03:39 GMT 2024","Wed Aug 21 04:03:47 GMT 2024","7627","Chromium","email_sub.spec.ts","Email Subscription Tests","","","Verify Subscription in Cart page",""
"skipped","Wed Aug 21 04:04:28 GMT 2024","Wed Aug 21 04:04:28 GMT 2024","1","Firefox","contact_us.spec.ts","","","","Contact Us",""
"passed","Wed Aug 21 04:03:51 GMT 2024","Wed Aug 21 04:04:06 GMT 2024","15318","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
