"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2055","Verify Subscription in Cart page","Chromium","2026-08-31","passed","2026-08-31","Email Subscription Tests","email_sub.spec.ts","",""
"","17205","Login User with correct email and password","Webkit","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","13814","Place Order: Register while Checkout","Chromium","2026-08-31","passed","2026-08-31","Checkout Order Tests","checkout_order.spec.ts","",""
"","2388","Verify All Products and product detail page","Chromium","2026-08-31","passed","2026-08-31","Product Page Test Suite","product_page.spec.ts","",""
"","4309","Verify Product quantity in Cart","Chromium","2026-08-31","passed","2026-08-31","Cart Tests","cart_product.spec.ts","",""
"","3600","Verify Subscription in Cart page","Webkit","2026-08-31","passed","2026-08-31","Email Subscription Tests","email_sub.spec.ts","",""
"","30198","Place Order: Register before Checkout","Webkit","2026-08-31","passed","2026-08-31","Checkout Order Tests","checkout_order.spec.ts","",""
"","14497","Search Products and Verify Cart After Login","Firefox","2026-08-31","passed","2026-08-31","Product Page Test Suite","product_page.spec.ts","",""
"","7706","Register User","Firefox","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","16295","Logout User","Webkit","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","4271","Verify All Products and product detail page","Webkit","2026-08-31","passed","2026-08-31","Product Page Test Suite","product_page.spec.ts","",""
"","11965","Add Products in Cart","Webkit","2026-08-31","passed","2026-08-31","Cart Tests","cart_product.spec.ts","",""
"","4720","Register User with existing email","Chromium","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","9305","Search Products and Verify Cart After Login","Chromium","2026-08-31","passed","2026-08-31","Product Page Test Suite","product_page.spec.ts","",""
"","6348","Logout User","Chromium","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","2085","Login User with incorrect email and password","Chromium","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","7158","Remove Products From Cart","Firefox","2026-08-31","passed","2026-08-31","Cart Tests","cart_product.spec.ts","",""
"","21894","Search Products and Verify Cart After Login","Webkit","2026-08-31","passed","2026-08-31","Product Page Test Suite","product_page.spec.ts","",""
"","7470","Login User with correct email and password","Chromium","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","2614","Search for a Product","Chromium","2026-08-31","passed","2026-08-31","Product Page Test Suite","product_page.spec.ts","",""
"","4192","View Category Products","Chromium","2026-08-31","passed","2026-08-31","Product Page Test Suite","product_page.spec.ts","",""
"","4832","Search for a Product","Firefox","2026-08-31","passed","2026-08-31","Product Page Test Suite","product_page.spec.ts","",""
"","5649","Add Products in Cart","Chromium","2026-08-31","passed","2026-08-31","Cart Tests","cart_product.spec.ts","",""
"","16883","Place Order: Login before Checkout","Chromium","2026-08-31","passed","2026-08-31","Checkout Order Tests","checkout_order.spec.ts","",""
"","4247","Submit the contact form successfully","Webkit","2026-08-31","passed","2026-08-31","Contact Us","contact_us.spec.ts","",""
"","2441","Login User with incorrect email and password","Firefox","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","18638","Place Order: Register before Checkout","Firefox","2026-08-31","passed","2026-08-31","Checkout Order Tests","checkout_order.spec.ts","",""
"","5764","View Category Products","Firefox","2026-08-31","passed","2026-08-31","Product Page Test Suite","product_page.spec.ts","",""
"","6260","Register User","Chromium","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","15045","Register User","Webkit","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","3092","Verify All Products and product detail page","Firefox","2026-08-31","passed","2026-08-31","Product Page Test Suite","product_page.spec.ts","",""
"","6379","Register User with existing email","Firefox","2026-08-31","passed","2026-08-31","User Tests","user_test_suite.spec.ts","",""
"","15172","Place Order: Register before Checkout","Chromium","2026-08-31","passed","2026-08-31","Checkout Order Tests","checkout_order.spec.ts","",""
"","3876","Submit the contact form successfully","Firefox","2026-08-31","passed","2026-08-31","Contact Us","contact_us.spec.ts","",""
"","6005","Verify Product quantity in Cart","Firefox","2026-08-31","passed","2026-08-31","Cart Tests","cart_product.spec.ts","",""
