"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 18 16:43:45 GMT 2024","Sun Aug 18 16:44:01 GMT 2024","16658","Webkit","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"skipped","Sun Aug 18 16:43:14 GMT 2024","Sun Aug 18 16:43:14 GMT 2024","0","Webkit","contact_us.spec.ts","","","","Contact Us",""
"passed","Sun Aug 18 16:40:50 GMT 2024","Sun Aug 18 16:41:32 GMT 2024","42291","Chromium","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register while Checkout",""
"passed","Sun Aug 18 16:44:50 GMT 2024","Sun Aug 18 16:45:01 GMT 2024","10667","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Remove Products From Cart",""
"passed","Sun Aug 18 16:42:40 GMT 2024","Sun Aug 18 16:42:50 GMT 2024","9922","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sun Aug 18 16:43:37 GMT 2024","Sun Aug 18 16:43:53 GMT 2024","16065","Webkit","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sun Aug 18 16:44:24 GMT 2024","Sun Aug 18 16:44:40 GMT 2024","16277","Webkit","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sun Aug 18 16:44:43 GMT 2024","Sun Aug 18 16:44:58 GMT 2024","14828","Microsoft Edge","cart_product.spec.ts","Cart Tests","","","Verify Product quantity in Cart",""
"passed","Sun Aug 18 16:41:28 GMT 2024","Sun Aug 18 16:41:37 GMT 2024","8811","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sun Aug 18 16:41:59 GMT 2024","Sun Aug 18 16:42:47 GMT 2024","47779","Firefox","checkout_order.spec.ts","Checkout Order Tests","","","Place Order: Register before Checkout",""
