"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 21:22:57 GMT 2024","Sat Aug 17 21:23:11 GMT 2024","14210","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 21:22:24 GMT 2024","Sat Aug 17 21:22:29 GMT 2024","4768","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 21:21:56 GMT 2024","Sat Aug 17 21:22:12 GMT 2024","15328","Firefox","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Sat Aug 17 21:23:29 GMT 2024","Sat Aug 17 21:23:33 GMT 2024","4525","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Sat Aug 17 21:22:37 GMT 2024","Sat Aug 17 21:22:40 GMT 2024","3593","Webkit","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Sat Aug 17 21:21:09 GMT 2024","Sat Aug 17 21:21:14 GMT 2024","5416","Chromium","product_page.spec.ts","Product Page Test Suite","","","Verify All Products and product detail page",""
"passed","Sat Aug 17 21:22:48 GMT 2024","Sat Aug 17 21:22:54 GMT 2024","6089","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Sat Aug 17 21:22:51 GMT 2024","Sat Aug 17 21:23:06 GMT 2024","14138","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"skipped","Sat Aug 17 21:22:40 GMT 2024","Sat Aug 17 21:22:40 GMT 2024","0","Mobile Chrome","contact_us.spec.ts","","","","Contact Us",""
"passed","Sat Aug 17 21:23:12 GMT 2024","Sat Aug 17 21:23:19 GMT 2024","6897","Mobile Safari","product_page.spec.ts","Product Page Test Suite","","","Search for a Product",""
"passed","Sat Aug 17 21:21:30 GMT 2024","Sat Aug 17 21:21:33 GMT 2024","3451","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
