"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21567","Place Order: Login before Checkout","Firefox","2026-08-10","passed","2026-08-10","Checkout Order Tests","checkout_order.spec.ts","",""
"","9744","Search Products and Verify Cart After Login","Chromium","2026-08-10","passed","2026-08-10","Product Page Test Suite","product_page.spec.ts","",""
"","5844","Verify Product quantity in Cart","Firefox","2026-08-10","passed","2026-08-10","Cart Tests","cart_product.spec.ts","",""
"","18433","Place Order: Register while Checkout","Firefox","2026-08-10","passed","2026-08-10","Checkout Order Tests","checkout_order.spec.ts","",""
"","1644","Login User with incorrect email and password","Chromium","2026-08-10","passed","2026-08-10","User Tests","user_test_suite.spec.ts","",""
"","6235","Register User","Chromium","2026-08-10","passed","2026-08-10","User Tests","user_test_suite.spec.ts","",""
"","4300","Verify Product quantity in Cart","Chromium","2026-08-10","passed","2026-08-10","Cart Tests","cart_product.spec.ts","",""
"","16865","Search Products and Verify Cart After Login","Webkit","2026-08-10","passed","2026-08-10","Product Page Test Suite","product_page.spec.ts","",""
"","9951","Login User with correct email and password","Firefox","2026-08-10","passed","2026-08-10","User Tests","user_test_suite.spec.ts","",""
"","2349","Login User with incorrect email and password","Firefox","2026-08-10","passed","2026-08-10","User Tests","user_test_suite.spec.ts","",""
"","15250","Register User","Webkit","2026-08-10","passed","2026-08-10","User Tests","user_test_suite.spec.ts","",""
"","4747","View Category Products","Chromium","2026-08-10","passed","2026-08-10","Product Page Test Suite","product_page.spec.ts","",""
"","5464","Submit the contact form successfully","Webkit","2026-08-10","passed","2026-08-10","Contact Us","contact_us.spec.ts","",""
"","3567","Submit the contact form successfully","Firefox","2026-08-10","passed","2026-08-10","Contact Us","contact_us.spec.ts","",""
"","2602","Verify All Products and product detail page","Chromium","2026-08-10","passed","2026-08-10","Product Page Test Suite","product_page.spec.ts","",""
"","7647","Logout User","Firefox","2026-08-10","passed","2026-08-10","User Tests","user_test_suite.spec.ts","",""
"","4694","Verify Subscription in Cart page","Webkit","2026-08-10","passed","2026-08-10","Email Subscription Tests","email_sub.spec.ts","",""
"","4692","Verify All Products and product detail page","Webkit","2026-08-10","passed","2026-08-10","Product Page Test Suite","product_page.spec.ts","",""
"","4813","Add Products in Cart","Chromium","2026-08-10","passed","2026-08-10","Cart Tests","cart_product.spec.ts","",""
"","4963","Verify Subscription in home page","Webkit","2026-08-10","passed","2026-08-10","Email Subscription Tests","email_sub.spec.ts","",""
"","7818","Remove Products From Cart","Webkit","2026-08-10","passed","2026-08-10","Cart Tests","cart_product.spec.ts","",""
"","3265","Verify All Products and product detail page","Firefox","2026-08-10","passed","2026-08-10","Product Page Test Suite","product_page.spec.ts","",""
"","1976","Verify Subscription in Cart page","Chromium","2026-08-10","passed","2026-08-10","Email Subscription Tests","email_sub.spec.ts","",""
"","5870","Register User with existing email","Firefox","2026-08-10","passed","2026-08-10","User Tests","user_test_suite.spec.ts","",""
"","8283","Register User","Firefox","2026-08-10","passed","2026-08-10","User Tests","user_test_suite.spec.ts","",""
"","7016","Remove Products From Cart","Firefox","2026-08-10","passed","2026-08-10","Cart Tests","cart_product.spec.ts","",""
"","2598","Verify Subscription in home page","Chromium","2026-08-10","passed","2026-08-10","Email Subscription Tests","email_sub.spec.ts","",""
"","9534","Register User with existing email","Webkit","2026-08-10","passed","2026-08-10","User Tests","user_test_suite.spec.ts","",""
"","3651","Search for a Product","Webkit","2026-08-10","passed","2026-08-10","Product Page Test Suite","product_page.spec.ts","",""
"","29501","Place Order: Login before Checkout","Webkit","2026-08-10","passed","2026-08-10","Checkout Order Tests","checkout_order.spec.ts","",""
"","29841","Place Order: Register before Checkout","Webkit","2026-08-10","passed","2026-08-10","Checkout Order Tests","checkout_order.spec.ts","",""
"","2566","Search for a Product","Chromium","2026-08-10","passed","2026-08-10","Product Page Test Suite","product_page.spec.ts","",""
