"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 14 21:16:05 GMT 2024","Wed Aug 14 21:16:19 GMT 2024","14472","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Wed Aug 14 21:19:27 GMT 2024","Wed Aug 14 21:19:44 GMT 2024","17538","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Wed Aug 14 21:20:06 GMT 2024","Wed Aug 14 21:20:12 GMT 2024","6216","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Wed Aug 14 21:19:51 GMT 2024","Wed Aug 14 21:20:06 GMT 2024","15618","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Wed Aug 14 21:18:04 GMT 2024","Wed Aug 14 21:18:19 GMT 2024","15619","Webkit","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Wed Aug 14 21:15:58 GMT 2024","Wed Aug 14 21:16:04 GMT 2024","6044","Chromium","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Wed Aug 14 21:16:38 GMT 2024","Wed Aug 14 21:16:42 GMT 2024","3655","Chromium","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Wed Aug 14 21:17:09 GMT 2024","Wed Aug 14 21:17:24 GMT 2024","14811","Firefox","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Wed Aug 14 21:17:58 GMT 2024","Wed Aug 14 21:18:04 GMT 2024","5607","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Wed Aug 14 21:19:14 GMT 2024","Wed Aug 14 21:19:27 GMT 2024","13106","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Wed Aug 14 21:18:33 GMT 2024","Wed Aug 14 21:18:49 GMT 2024","16009","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Wed Aug 14 21:17:24 GMT 2024","Wed Aug 14 21:17:28 GMT 2024","3874","Firefox","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Wed Aug 14 21:18:19 GMT 2024","Wed Aug 14 21:18:25 GMT 2024","5268","Webkit","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Wed Aug 14 21:18:53 GMT 2024","Wed Aug 14 21:19:08 GMT 2024","14956","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Wed Aug 14 21:17:43 GMT 2024","Wed Aug 14 21:17:58 GMT 2024","15254","Webkit","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Wed Aug 14 21:19:44 GMT 2024","Wed Aug 14 21:19:51 GMT 2024","6048","Mobile Safari","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Wed Aug 14 21:17:05 GMT 2024","Wed Aug 14 21:17:09 GMT 2024","4249","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Wed Aug 14 21:16:43 GMT 2024","Wed Aug 14 21:16:50 GMT 2024","6932","Firefox","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Wed Aug 14 21:17:30 GMT 2024","Wed Aug 14 21:17:42 GMT 2024","11648","Webkit","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Wed Aug 14 21:18:49 GMT 2024","Wed Aug 14 21:18:53 GMT 2024","4323","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
"passed","Wed Aug 14 21:19:08 GMT 2024","Wed Aug 14 21:19:12 GMT 2024","4116","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Register User with existing email",""
"passed","Wed Aug 14 21:16:51 GMT 2024","Wed Aug 14 21:17:05 GMT 2024","14418","Firefox","user_test_suite.spec.ts","User Tests","","","Login User with correct email and password",""
"passed","Wed Aug 14 21:18:26 GMT 2024","Wed Aug 14 21:18:33 GMT 2024","6270","Mobile Chrome","user_test_suite.spec.ts","User Tests","","","Register User",""
"passed","Wed Aug 14 21:16:23 GMT 2024","Wed Aug 14 21:16:38 GMT 2024","14835","Chromium","user_test_suite.spec.ts","User Tests","","","Logout User",""
"passed","Wed Aug 14 21:16:19 GMT 2024","Wed Aug 14 21:16:23 GMT 2024","4228","Chromium","user_test_suite.spec.ts","User Tests","","","Login User with incorrect email and password",""
