"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23961","Place Order: Login before Checkout","Chromium","2026-09-07","passed","2026-09-07","Checkout Order Tests","checkout_order.spec.ts","",""
"","7566","Register User","Firefox","2026-09-07","passed","2026-09-07","User Tests","user_test_suite.spec.ts","",""
"","18351","Search Products and Verify Cart After Login","Firefox","2026-09-07","passed","2026-09-07","Product Page Test Suite","product_page.spec.ts","",""
"","23748","Place Order: Register before Checkout","Firefox","2026-09-07","passed","2026-09-07","Checkout Order Tests","checkout_order.spec.ts","",""
"","14706","Logout User","Webkit","2026-09-07","passed","2026-09-07","User Tests","user_test_suite.spec.ts","",""
"","32959","Place Order: Register before Checkout","Webkit","2026-09-07","passed","2026-09-07","Checkout Order Tests","checkout_order.spec.ts","",""
"","5402","Verify Subscription in home page","Webkit","2026-09-07","passed","2026-09-07","Email Subscription Tests","email_sub.spec.ts","",""
"","2975","Login User with incorrect email and password","Webkit","2026-09-07","passed","2026-09-07","User Tests","user_test_suite.spec.ts","",""
"","4024","Submit the contact form successfully","Firefox","2026-09-07","passed","2026-09-07","Contact Us","contact_us.spec.ts","",""
"","7375","Verify Product quantity in Cart","Firefox","2026-09-07","passed","2026-09-07","Cart Tests","cart_product.spec.ts","",""
"","6789","View Category Products","Firefox","2026-09-07","passed","2026-09-07","Product Page Test Suite","product_page.spec.ts","",""
"","9237","Logout User","Chromium","2026-09-07","passed","2026-09-07","User Tests","user_test_suite.spec.ts","",""
"","11409","Logout User","Firefox","2026-09-07","passed","2026-09-07","User Tests","user_test_suite.spec.ts","",""
"","3963","Search for a Product","Firefox","2026-09-07","passed","2026-09-07","Product Page Test Suite","product_page.spec.ts","",""
"","23275","Login User with correct email and password","Webkit","2026-09-07","passed","2026-09-07","User Tests","user_test_suite.spec.ts","",""
"","11685","Register User with existing email","Webkit","2026-09-07","passed","2026-09-07","User Tests","user_test_suite.spec.ts","",""
"","44137","Place Order: Login before Checkout","Webkit","2026-09-07","passed","2026-09-07","Checkout Order Tests","checkout_order.spec.ts","",""
