"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2530","Submit the contact form successfully","Chromium","Mon Apr 27 04:40:39 UTC 2026","passed","Mon Apr 27 04:40:42 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","13156","Register User with existing email","Webkit","Mon Apr 27 04:43:01 UTC 2026","passed","Mon Apr 27 04:43:14 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","5046","Register User with existing email","Chromium","Mon Apr 27 04:40:54 UTC 2026","passed","Mon Apr 27 04:40:59 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","16248","Search Products and Verify Cart After Login","Webkit","Mon Apr 27 04:42:44 UTC 2026","passed","Mon Apr 27 04:43:00 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","14669","Register User","Webkit","Mon Apr 27 04:42:44 UTC 2026","passed","Mon Apr 27 04:42:59 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","2148","Verify Subscription in home page","Chromium","Mon Apr 27 04:40:40 UTC 2026","passed","Mon Apr 27 04:40:42 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","15354","Place Order: Register before Checkout","Chromium","Mon Apr 27 04:40:24 UTC 2026","passed","Mon Apr 27 04:40:40 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","6730","View Category Products","Webkit","Mon Apr 27 04:42:41 UTC 2026","passed","Mon Apr 27 04:42:48 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","15646","Place Order: Register while Checkout","Chromium","Mon Apr 27 04:40:24 UTC 2026","passed","Mon Apr 27 04:40:39 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","3926","Verify All Products and product detail page","Firefox","Mon Apr 27 04:41:32 UTC 2026","passed","Mon Apr 27 04:41:36 UTC 2026","Product Page Test Suite","product_page.spec.ts","",""
"","8675","Add Products in Cart","Webkit","Mon Apr 27 04:41:53 UTC 2026","passed","Mon Apr 27 04:42:02 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","2438","Login User with incorrect email and password","Webkit","Mon Apr 27 04:42:59 UTC 2026","passed","Mon Apr 27 04:43:01 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","4229","Submit the contact form successfully","Webkit","Mon Apr 27 04:42:32 UTC 2026","passed","Mon Apr 27 04:42:36 UTC 2026","Contact Us","contact_us.spec.ts","",""
"","3646","Verify Subscription in Cart page","Webkit","Mon Apr 27 04:42:36 UTC 2026","passed","Mon Apr 27 04:42:40 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","28972","Place Order: Register before Checkout","Webkit","Mon Apr 27 04:42:03 UTC 2026","passed","Mon Apr 27 04:42:32 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
"","4356","Verify Product quantity in Cart","Webkit","Mon Apr 27 04:41:57 UTC 2026","passed","Mon Apr 27 04:42:01 UTC 2026","Cart Tests","cart_product.spec.ts","",""
"","6376","Register User","Chromium","Mon Apr 27 04:40:45 UTC 2026","passed","Mon Apr 27 04:40:51 UTC 2026","User Tests","user_test_suite.spec.ts","",""
"","3962","Verify Subscription in Cart page","Firefox","Mon Apr 27 04:41:29 UTC 2026","passed","Mon Apr 27 04:41:33 UTC 2026","Email Subscription Tests","email_sub.spec.ts","",""
"","19046","Place Order: Register while Checkout","Firefox","Mon Apr 27 04:41:06 UTC 2026","passed","Mon Apr 27 04:41:25 UTC 2026","Checkout Order Tests","checkout_order.spec.ts","",""
